age,age_onset,birthplace,audio_file,accent,gender,speakerid,country,city,city_nums,state,source,line_id,text,audio_duration,id,speaker,irrelevant,stereotypical,anti-stereotypical,labels,annotators
35.0,0.0,"davenport, iowa, usa",/work/bbc6523/diverse_voices/english_accent_audio/english10.mp3,english,female,62.0,usa,davenport,3.0,iowa,english_accents,,,,,,,,,,
35.0,0.0,"oakland, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english155.mp3,english,male,535.0,usa,oakland,3.0,california,english_accents,,,,,,,,,,
23.0,0.0,"miami, florida, usa",/work/bbc6523/diverse_voices/english_accent_audio/english100.mp3,english,female,63.0,usa,miami,3.0,florida,english_accents,,,,,,,,,,
23.0,0.0,"west palm beach, florida, usa",/work/bbc6523/diverse_voices/english_accent_audio/english131.mp3,english,male,497.0,usa,west palm beach,3.0,florida,english_accents,,,,,,,,,,
18.0,0.0,"toronto, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english101.mp3,english,female,64.0,canada,toronto,3.0,ontario,english_accents,,,,,,,,,,
18.0,0.0,"ottawa, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english159.mp3,english,male,541.0,canada,ottawa,3.0,ontario,english_accents,,,,,,,,,,
18.0,0.0,"youngstown, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english104.mp3,english,female,67.0,usa,youngstown,3.0,ohio,english_accents,,,,,,,,,,
18.0,0.0,"lawrenceville, georgia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english149.mp3,english,male,526.0,usa,lawrenceville,3.0,georgia,english_accents,,,,,,,,,,
39.0,0.0,"los angeles, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english106.mp3,english,female,408.0,usa,los angeles,3.0,california,english_accents,,,,,,,,,,
39.0,0.0,"new britain, connecticut, usa",/work/bbc6523/diverse_voices/english_accent_audio/english127.mp3,english,male,489.0,usa,new britain,3.0,connecticut,english_accents,,,,,,,,,,
26.0,0.0,"concord, new hampshire, usa",/work/bbc6523/diverse_voices/english_accent_audio/english109.mp3,english,female,420.0,usa,concord,3.0,new hampshire,english_accents,,,,,,,,,,
26.0,0.0,"charleston, west virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english137.mp3,english,male,509.0,usa,charleston,3.0,west virginia,english_accents,,,,,,,,,,
35.0,0.0,"staffordshire, uk",/work/bbc6523/diverse_voices/english_accent_audio/english11.mp3,english,female,68.0,uk,staffordshire,2.0,none,english_accents,,,,,,,,,,
35.0,0.0,"edinburgh, scotland, uk",/work/bbc6523/diverse_voices/english_accent_audio/english188.mp3,english,male,611.0,uk,edinburgh,3.0,scotland,english_accents,,,,,,,,,,
38.0,0.0,"birmingham 2, alabama, usa",/work/bbc6523/diverse_voices/english_accent_audio/english114.mp3,english,female,442.0,usa,birmingham 2,3.0,alabama,english_accents,,,,,,,,,,
38.0,0.0,"brooklyn, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english124.mp3,english,male,480.0,usa,brooklyn,3.0,new york,english_accents,,,,,,,,,,
60.0,0.0,"elmore, alabama, usa",/work/bbc6523/diverse_voices/english_accent_audio/english117.mp3,english,female,445.0,usa,elmore,3.0,alabama,english_accents,,,,,,,,,,
60.0,0.0,"naylor, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english262.mp3,english,male,876.0,usa,naylor,3.0,maryland,english_accents,,,,,,,,,,
32.0,0.0,"saskatoon, saskatchewan, canada",/work/bbc6523/diverse_voices/english_accent_audio/english119.mp3,english,female,455.0,canada,saskatoon,3.0,saskatchewan,english_accents,,,,,,,,,,
32.0,0.0,"sackville, new brunswick, canada",/work/bbc6523/diverse_voices/english_accent_audio/english359.mp3,english,male,1276.0,canada,sackville,3.0,new brunswick,english_accents,,,,,,,,,,
28.0,0.0,"riverside, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english123.mp3,english,female,469.0,usa,riverside,3.0,california,english_accents,,,,,,,,,,
28.0,0.0,"silver spring, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english313.mp3,english,male,1119.0,usa,silver spring,3.0,maryland,english_accents,,,,,,,,,,
34.0,0.0,"cincinnati, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english126.mp3,english,female,487.0,usa,cincinnati,3.0,ohio,english_accents,,,,,,,,,,
34.0,0.0,"arlington, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english382.mp3,english,male,1325.0,usa,arlington,3.0,virginia,english_accents,,,,,,,,,,
20.0,0.0,"miami, florida, usa",/work/bbc6523/diverse_voices/english_accent_audio/english128.mp3,english,female,490.0,usa,miami,3.0,florida,english_accents,,,,,,,,,,
20.0,0.0,"providence, rhode island, usa",/work/bbc6523/diverse_voices/english_accent_audio/english139.mp3,english,male,511.0,usa,providence,3.0,rhode island,english_accents,,,,,,,,,,
18.0,0.0,"toronto, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english132.mp3,english,female,503.0,canada,toronto,3.0,ontario,english_accents,,,,,,,,,,
18.0,0.0,"saskatoon, saskatchewan, canada",/work/bbc6523/diverse_voices/english_accent_audio/english353.mp3,english,male,1246.0,canada,saskatoon,3.0,saskatchewan,english_accents,,,,,,,,,,
22.0,0.0,"belfast, northern ireland, uk",/work/bbc6523/diverse_voices/english_accent_audio/english134.mp3,english,female,506.0,uk,belfast,3.0,northern ireland,english_accents,,,,,,,,,,
22.0,0.0,"derby, england, uk",/work/bbc6523/diverse_voices/english_accent_audio/english566.mp3,english,male,2081.0,uk,derby,3.0,england,english_accents,,,,,,,,,,
25.0,0.0,"palmer, alaska, usa",/work/bbc6523/diverse_voices/english_accent_audio/english138.mp3,english,female,510.0,usa,palmer,3.0,alaska,english_accents,,,,,,,,,,
25.0,0.0,"bay shore, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english199.mp3,english,male,664.0,usa,bay shore,3.0,new york,english_accents,,,,,,,,,,
40.0,0.0,"merced, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english147.mp3,english,female,523.0,usa,merced,3.0,california,english_accents,,,,,,,,,,
40.0,0.0,"oceanside, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english168.mp3,english,male,554.0,usa,oceanside,3.0,california,english_accents,,,,,,,,,,
18.0,0.0,"washington, district of columbia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english158.mp3,english,female,540.0,usa,washington,3.0,district of columbia,english_accents,,,,,,,,,,
18.0,0.0,"baltimore, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english151.mp3,english,male,528.0,usa,baltimore,3.0,maryland,english_accents,,,,,,,,,,
21.0,0.0,"redwood falls, minnesota, usa",/work/bbc6523/diverse_voices/english_accent_audio/english160.mp3,english,female,542.0,usa,redwood falls,3.0,minnesota,english_accents,,,,,,,,,,
21.0,0.0,"staten island, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english103.mp3,english,male,66.0,usa,staten island,3.0,new york,english_accents,,,,,,,,,,
75.0,0.0,"wakefield, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english161.mp3,english,female,546.0,usa,wakefield,3.0,ohio,english_accents,,,,,,,,,,
75.0,0.0,"danville, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english424.mp3,english,male,1409.0,usa,danville,3.0,virginia,english_accents,,,,,,,,,,
41.0,0.0,"delaware, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english162.mp3,english,female,548.0,usa,delaware,3.0,ohio,english_accents,,,,,,,,,,
41.0,0.0,"fairview park, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english163.mp3,english,male,547.0,usa,fairview park,3.0,ohio,english_accents,,,,,,,,,,
43.0,0.0,"detroit, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english165.mp3,english,female,550.0,usa,detroit,3.0,michigan,english_accents,,,,,,,,,,
43.0,0.0,"lakeview, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english167.mp3,english,male,552.0,usa,lakeview,3.0,michigan,english_accents,,,,,,,,,,
50.0,0.0,"belmont, mississippi, usa",/work/bbc6523/diverse_voices/english_accent_audio/english170.mp3,english,female,556.0,usa,belmont,3.0,mississippi,english_accents,,,,,,,,,,
50.0,0.0,"troy, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english182.mp3,english,male,590.0,usa,troy,3.0,new york,english_accents,,,,,,,,,,
18.0,0.0,"elizabeth city, north carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english176.mp3,english,female,573.0,usa,elizabeth city,3.0,north carolina,english_accents,,,,,,,,,,
18.0,0.0,"glenside, pennsylvania, usa",/work/bbc6523/diverse_voices/english_accent_audio/english166.mp3,english,male,551.0,usa,glenside,3.0,pennsylvania,english_accents,,,,,,,,,,
23.0,0.0,"new orleans, louisiana, usa",/work/bbc6523/diverse_voices/english_accent_audio/english177.mp3,english,female,574.0,usa,new orleans,3.0,louisiana,english_accents,,,,,,,,,,
23.0,0.0,"san francisco, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english244.mp3,english,male,821.0,usa,san francisco,3.0,california,english_accents,,,,,,,,,,
39.0,0.0,"dickenson county, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english18.mp3,english,female,75.0,usa,dickenson county,3.0,virginia,english_accents,,,,,,,,,,
39.0,0.0,"eugene, oregon, usa",/work/bbc6523/diverse_voices/english_accent_audio/english254.mp3,english,male,858.0,usa,eugene,3.0,oregon,english_accents,,,,,,,,,,
18.0,0.0,"hillsboro, oregon, usa",/work/bbc6523/diverse_voices/english_accent_audio/english184.mp3,english,female,597.0,usa,hillsboro,3.0,oregon,english_accents,,,,,,,,,,
18.0,0.0,"cleveland, mississippi, usa",/work/bbc6523/diverse_voices/english_accent_audio/english169.mp3,english,male,555.0,usa,cleveland,3.0,mississippi,english_accents,,,,,,,,,,
39.0,0.0,"gadsden, alabama, usa",/work/bbc6523/diverse_voices/english_accent_audio/english186.mp3,english,female,605.0,usa,gadsden,3.0,alabama,english_accents,,,,,,,,,,
39.0,0.0,"alexandria, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english395.mp3,english,male,1340.0,usa,alexandria,3.0,virginia,english_accents,,,,,,,,,,
42.0,0.0,"algona, iowa, usa",/work/bbc6523/diverse_voices/english_accent_audio/english187.mp3,english,female,606.0,usa,algona,3.0,iowa,english_accents,,,,,,,,,,
42.0,0.0,"pittsburgh, pennsylvania, usa",/work/bbc6523/diverse_voices/english_accent_audio/english1.mp3,english,male,61.0,usa,pittsburgh,3.0,pennsylvania,english_accents,,,,,,,,,,
27.0,0.0,"east lansing, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english192.mp3,english,female,636.0,usa,east lansing,3.0,michigan,english_accents,,,,,,,,,,
27.0,0.0,"oak park, illinois, usa",/work/bbc6523/diverse_voices/english_accent_audio/english190.mp3,english,male,618.0,usa,oak park,3.0,illinois,english_accents,,,,,,,,,,
21.0,0.0,"delavan, wisconsin, usa",/work/bbc6523/diverse_voices/english_accent_audio/english195.mp3,english,female,639.0,usa,delavan,3.0,wisconsin,english_accents,,,,,,,,,,
21.0,0.0,"waconia, minnesota, usa",/work/bbc6523/diverse_voices/english_accent_audio/english121.mp3,english,male,465.0,usa,waconia,3.0,minnesota,english_accents,,,,,,,,,,
27.0,0.0,"mt. holly, north carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english20.mp3,english,female,78.0,usa,mt. holly,3.0,north carolina,english_accents,,,,,,,,,,
27.0,0.0,"dunedin, florida, usa",/work/bbc6523/diverse_voices/english_accent_audio/english327.mp3,english,male,1205.0,usa,dunedin,3.0,florida,english_accents,,,,,,,,,,
22.0,0.0,"berkeley, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english200.mp3,english,female,667.0,usa,berkeley,3.0,california,english_accents,,,,,,,,,,
22.0,0.0,"torrington, connecticut, usa",/work/bbc6523/diverse_voices/english_accent_audio/english102.mp3,english,male,65.0,usa,torrington,3.0,connecticut,english_accents,,,,,,,,,,
26.0,0.0,"warren, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english201.mp3,english,female,668.0,usa,warren,3.0,michigan,english_accents,,,,,,,,,,
