word,valence,arousal,dominance
pedophile,1.26,5.05,3.37
rapist,1.3,6.33,2.21
AIDS,1.33,5.0,3.55
torture,1.4,5.09,2.76
leukemia,1.47,5.75,2.83
murder,1.48,6.24,3.38
molester,1.48,5.0,3.22
racism,1.48,5.88,4.46
homicide,1.5,6.1,2.92
chemo,1.5,4.82,3.15
asphyxiation,1.53,6.91,2.54
abuse,1.53,6.21,2.9
HIV,1.53,5.1,2.9
rape,1.54,7.24,2.47
herpes,1.57,5.58,3.75
suicide,1.58,6.21,4.21
drunk driving,1.58,5.73,3.36
terrorism,1.6,7.42,2.69
motherfucker,1.61,7.33,2.56
genocide,1.62,5.83,2.5
wreck,1.62,4.65,4.27
guillotine,1.63,5.64,3.39
gonorrhea,1.65,4.52,2.92
die,1.67,6.9,3.28
lynching,1.67,4.92,2.53
nigger,1.67,6.81,2.96
nausea,1.68,4.59,2.95
disease,1.68,5.5,2.8
virus,1.71,4.61,3.06
disaster,1.71,6.35,2.97
mourning,1.71,3.9,3.64
starvation,1.72,5.45,3.81
killer,1.74,7.05,4.43
foreclosure,1.75,5.9,3.08
massacre,1.77,6.68,3.33
kidnapper,1.77,6.52,3.33
unsanitary,1.79,4.95,2.75
deathbed,1.79,4.05,2.96
morgue,1.79,3.48,3.32
nightmare,1.79,5.83,3.21
stress,1.79,4.72,3.85
kill,1.81,6.81,3.61
assassination,1.83,6.2,4.0
unhappy,1.84,5.1,3.71
amputation,1.84,4.86,2.85
hijack,1.84,6.1,3.06
puke,1.84,5.05,3.09
hijacker,1.85,6.75,2.88
cirrhosis,1.86,4.76,3.82
appendicitis,1.86,5.12,2.71
pollute,1.88,4.91,4.47
insulting,1.89,4.7,4.48
molest,1.89,6.43,2.57
menopause,1.89,3.55,4.32
unhappiness,1.89,4.41,2.96
death,1.89,5.53,3.42
seasick,1.89,5.0,2.39
worthless,1.89,4.45,2.71
coma,1.89,3.05,2.71
deadly,1.9,5.04,3.73
hateful,1.9,5.71,4.32
incurable,1.9,4.9,2.8
overworked,1.9,4.42,4.36
mugger,1.9,5.67,2.97
vandalism,1.9,4.67,3.45
motherless,1.9,4.52,4.23
cancer,1.9,5.14,2.9
parasite,1.9,5.65,3.08
jail,1.91,4.47,3.91
harm,1.91,5.9,3.95
