word,valence,arousal,dominance
nigger,1.67,6.81,2.96
unhappy,1.84,5.1,3.71
puke,1.84,5.05,3.09
molest,1.89,6.43,2.57
worthless,1.89,4.45,2.71
hateful,1.9,5.71,4.32
incurable,1.9,4.9,2.8
motherless,1.9,4.52,4.23
satanic,1.94,5.26,3.92
parasitic,1.95,4.82,2.71
repulsive,1.95,5.12,3.59
moldy,1.95,4.35,4.29
nauseous,1.95,4.18,3.19
maggot,2.0,5.6,3.55
fatal,2.0,6.79,3.54
dead,2.02,3.91,2.66
rude,2.04,4.7,3.8
penitentiary,2.05,6.35,3.43
murderous,2.05,7.05,2.95
dishonesty,2.05,5.39,4.32
catastrophic,2.05,6.25,2.28
negligent,2.05,4.45,4.57
racist,2.05,4.84,4.37
devastating,2.09,5.5,3.96
greedy,2.1,4.76,4.0
amputate,2.1,5.43,3.0
unbearable,2.1,5.76,3.38
frostbite,2.1,7.05,4.0
excruciating,2.1,5.3,3.36
sad,2.1,3.49,3.84
terrible,2.1,4.39,3.4
criminal,2.11,4.49,4.09
suicidal,2.15,4.91,3.24
vengeful,2.16,5.14,3.92
unethical,2.19,4.25,5.32
hopeless,2.2,4.52,2.84
homeless,2.21,4.38,3.78
vile,2.21,5.48,3.83
disastrous,2.21,4.23,3.89
mortuary,2.21,3.59,3.91
bankrupt,2.21,5.49,3.41
invader,2.23,5.67,3.5
helpless,2.24,4.91,3.0
afraid,2.25,5.12,2.71
violent,2.26,6.3,3.65
disgusting,2.27,6.15,4.79
disloyal,2.27,5.14,3.28
awful,2.28,4.86,3.06
sick,2.29,4.67,2.84
harmful,2.29,4.89,4.1
unfriendly,2.3,4.05,4.45
traitorous,2.32,5.25,4.5
malicious,2.32,4.95,4.78
horrible,2.33,5.95,5.16
drown,2.33,5.35,2.65
unfaithful,2.33,5.59,4.44
unforgivable,2.33,6.25,3.56
dishonorable,2.33,5.76,3.71
dangerous,2.33,6.81,2.56
unsuccessful,2.33,3.36,3.21
evil,2.34,5.67,3.6
toxic,2.35,5.29,4.13
crappy,2.35,5.26,3.92
hostile,2.35,5.39,4.36
terrorist,2.35,6.09,3.02
disgraceful,2.35,4.08,2.79
unattractive,2.37,4.3,3.47
jealous,2.38,5.9,4.68
suspect,2.39,4.57,3.22
fecal,2.4,4.52,4.2
grim,2.41,4.48,4.18
decompose,2.42,4.17,3.4
rotten,2.43,4.9,3.37
impoverished,2.43,4.64,3.3
dumb,2.44,5.3,4.39
upset,2.45,4.49,4.3
frightened,2.45,5.61,3.05
mad,2.47,5.59,4.9
ugly,2.47,4.43,3.86
lethal,2.48,5.64,4.72
scornful,2.5,4.71,5.04
arsonist,2.5,6.95,3.42
inoperable,2.5,5.05,3.23
irresponsible,2.5,5.0,3.91
paralyze,2.52,4.47,3.05
toothless,2.52,4.0,3.52
phony,2.52,4.4,4.09
arrogant,2.52,5.15,4.64
negative,2.52,5.05,4.29
poisonous,2.52,5.67,4.0
unpleasant,2.53,4.73,3.54
illegal,2.53,5.55,4.72
stingy,2.53,4.73,4.54
angry,2.53,6.2,4.11
unhealthy,2.55,4.36,5.11
insane,2.55,5.14,3.74
penniless,2.55,5.76,5.6
bloodthirsty,2.55,4.9,4.68
furious,2.57,6.09,3.89
inadequate,2.57,4.3,3.71
frustrating,2.57,5.48,3.72
horrendous,2.58,5.81,3.68
unpaid,2.58,5.62,3.35
painful,2.58,5.52,3.83
frightening,2.58,4.73,3.39
problematic,2.58,4.8,4.65
humiliate,2.6,5.05,3.96
miserable,2.6,5.06,3.86
deceitful,2.6,5.18,4.11
dreadful,2.6,4.5,3.38
dismal,2.6,3.29,4.96
autopsy,2.62,4.36,3.22
sadistic,2.62,5.25,3.43
coronary,2.62,4.67,4.4
saggy,2.62,3.04,4.94
stressful,2.62,5.65,3.97
suffocate,2.62,6.09,3.48
fake,2.62,5.15,4.47
vicious,2.63,6.05,5.5
infectious,2.63,5.14,3.19
wicked,2.63,5.86,3.61
vagrant,2.63,3.82,3.92
depressive,2.64,3.48,3.64
inhospitable,2.65,4.36,3.35
fearful,2.66,5.45,3.12
untrustworthy,2.67,4.8,4.22
unemployed,2.67,5.26,3.38
pest,2.67,5.14,4.36
lonely,2.67,4.37,3.33
illicit,2.68,4.77,3.5
defenseless,2.68,4.9,3.95
disgusted,2.68,4.89,4.24
smother,2.68,4.75,4.2
ungrateful,2.68,4.71,4.74
derogatory,2.7,3.95,3.68
unlucky,2.7,4.62,4.15
belittle,2.7,4.05,2.92
disabled,2.7,3.71,4.52
homophobic,2.7,5.14,4.04
uncomfortable,2.7,5.5,3.68
fussy,2.71,3.61,3.83
crippling,2.71,4.88,2.74
pathological,2.71,3.5,4.0
anorexic,2.71,4.24,3.43
disrespectful,2.71,4.65,3.7
boring,2.71,2.85,6.05
soulless,2.71,4.76,3.72
unwanted,2.71,5.1,3.57
unprofessional,2.71,4.71,3.64
cruel,2.73,5.07,4.78
deceased,2.73,4.86,2.64
unlawful,2.73,4.46,4.87
piss,2.73,4.74,5.63
morbid,2.73,5.29,4.49
unreliable,2.74,4.29,4.22
fugitive,2.74,5.26,4.0
insolent,2.74,5.43,4.12
troublesome,2.74,4.85,5.05
unromantic,2.74,3.55,4.16
extinct,2.74,4.55,3.42
fat,2.74,3.89,4.0
tense,2.75,5.32,4.72
trashy,2.75,5.75,4.73
bigot,2.75,5.37,3.12
unattainable,2.75,4.48,4.12
wimpy,2.76,3.95,3.29
drab,2.76,2.35,4.77
obnoxious,2.76,5.95,4.1
despicable,2.76,4.86,3.24
