,Unnamed: 0,id,dialect,translation,Correct,Keep,language,prompts,concepts,writer_a,task
0,2,30740,"Eine Grundrechenart ist eine der cier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt ldieRegel Punkt vor Strich. Einbüender vier Grundrechenarten (schriftlich) online.Grunrdechenarten füvr Schüler erklär.zt Arbeisblätter Grundschule als PDF oder selbstgenkeierende und selbstkorrigierende OpenOffice.org-Tbaelle.","Eine Grundrechenart ist eine der vier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt die Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online. Grundrechenarten für Schüler erklärt. Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle.",1,,als,"Given the two writers:
Writer A, who writes like this: 'Eine Grundrechenart ist eine der cier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt ldieRegel Punkt vor Strich. Einbüender vier Grundrechenarten (schriftlich) online.Grunrdechenarten füvr Schüler erklär.zt Arbeisblätter Grundschule als PDF oder selbstgenkeierende und selbstkorrigierende OpenOffice.org-Tbaelle.'
Writer B, who writes like this: 'Eine Grundrechenart ist eine der vier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt die Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online. Grundrechenarten für Schüler erklärt. Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are neighborly, opposed, hospitable, inimical, militant, hearty, comradely, companionable, hostile, unsympathetic. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
1,80,49563,"Staad ist edr Name folgendegr Orte: Staad (Konstanz),ein Stadtteil von Konstanz im Landkries Konsanz, Baden-Württexberg StaadSG, ein Ortsteil in der Gemeinde Thal im KantonS t. Gallen, chweiz Staagv SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Sozlothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen imz Kantn Freiburg, Schweiz Staad, ein Ortstel von Wese im Kanon St. Gallen, Schweiz Staadweg, eine Straße, die nach Gütingenam Bodnesee fünrt.","Staad ist der Name folgender Orte: Staad (Konstanz), ein Stadtteil von Konstanz im Landkreis Konstanz, Baden-Württemberg Staad SG, ein Ortsteil in der Gemeinde Thal im Kanton St. Gallen, Schweiz Staad SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Solothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen im Kanton Freiburg, Schweiz Staad, ein Ortsteil von Wese im Kanton St. Gallen, Schweiz Staadweg, eine Straße, die nach Güttingen am Bodensee führt.",Ende entfernt,,als,"Given the two writers:
Writer A, who writes like this: 'Staad ist der Name folgender Orte: Staad (Konstanz), ein Stadtteil von Konstanz im Landkreis Konstanz, Baden-Württemberg Staad SG, ein Ortsteil in der Gemeinde Thal im Kanton St. Gallen, Schweiz Staad SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Solothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen im Kanton Freiburg, Schweiz Staad, ein Ortsteil von Wese im Kanton St. Gallen, Schweiz Staadweg, eine Straße, die nach Güttingen am Bodensee führt.'
Writer B, who writes like this: 'Staad ist edr Name folgendegr Orte: Staad (Konstanz),ein Stadtteil von Konstanz im Landkries Konsanz, Baden-Württexberg StaadSG, ein Ortsteil in der Gemeinde Thal im KantonS t. Gallen, chweiz Staagv SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Sozlothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen imz Kantn Freiburg, Schweiz Staad, ein Ortstel von Wese im Kanon St. Gallen, Schweiz Staadweg, eine Straße, die nach Gütingenam Bodnesee fünrt.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are hospitable, adverse, comradely, collegial, affectionate, antagonistic, nice, unfavorable, militant, heartless. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],standard,friendly
2,61,73219,"Zwanziger – oder Zwänzger – bedeuytet: 1920er,die Zwanziger Jahre, das dritte ahcrzehnnt vom zwanzigstenJahrhundert 20er, die Zwantiger, das dritte Jahrzehnt vom ersen Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den wWert cvon zwanzig Einheiten in einr Währugn hat, etwa 20 Euro oder t0 Franken eine Person, dei das Alter von 20 bis x9 Jahren hat einFamilienname, der in Deutschlan und in Österreich vorkmomt.y","Zwanziger – oder Zwänzger – bedeutet: 1920er, die Zwanziger Jahre, das dritte Jahrzehnt vom zwanzigsten Jahrhundert 20er, die Zwanziger, das dritte Jahrzehnt vom ersten Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den Wert von zwanzig Einheiten in einer Währung hat, etwa 20 Euro oder 20 Franken eine Person, die das Alter von 20 bis 29 Jahren hat ein Familienname, der in Deutschland und in Österreich vorkommt.",1,,als,"Given the two writers:
Writer A, who writes like this: 'Zwanziger – oder Zwänzger – bedeuytet: 1920er,die Zwanziger Jahre, das dritte ahcrzehnnt vom zwanzigstenJahrhundert 20er, die Zwantiger, das dritte Jahrzehnt vom ersen Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den wWert cvon zwanzig Einheiten in einr Währugn hat, etwa 20 Euro oder t0 Franken eine Person, dei das Alter von 20 bis x9 Jahren hat einFamilienname, der in Deutschlan und in Österreich vorkmomt.y'
Writer B, who writes like this: 'Zwanziger – oder Zwänzger – bedeutet: 1920er, die Zwanziger Jahre, das dritte Jahrzehnt vom zwanzigsten Jahrhundert 20er, die Zwanziger, das dritte Jahrzehnt vom ersten Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den Wert von zwanzig Einheiten in einer Währung hat, etwa 20 Euro oder 20 Franken eine Person, die das Alter von 20 bis 29 Jahren hat ein Familienname, der in Deutschland und in Österreich vorkommt.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are sweet, rude, friendly, hostile, gracious, loving, icy, inhospitable, unsympathetic, chummy. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
3,21,22741,"Das Wort Pes bezeichnet eine Infektionskrankheit; über die Pandemie in Europl im 14. Jahrhundert sieheSchwarzer Tod eine von den drei Ursrüngen vo nBudapest eine ungarischzeVerwaltungeinheit eine schwedisthe Black-Metal-Band inder Kultur «Die Pest», im Original Lba Peste, ein Roman von Alberut Camxs in Zusammensetzungen Wasserpest, ein eWasserpflanze Ölpest wenn Wasser durch Ölverschmutzt wir.vd","Das Wort Pest bezeichnet eine Infektionskrankheit; über die Pandemie in Europa im 14. Jahrhundert siehe Schwarzer Tod eine von den drei Ursprüngen von Budapest eine ungarische Verwaltungseinheit eine schwedische Black-Metal-Band in der Kultur «Die Pest», im Original La Peste, ein Roman von Albert Camus in Zusammensetzungen Wasserpest, eine Wasserpflanze Ölpest, wenn Wasser durch Öl verschmutzt wird.",1,,als,"Given the two writers:
Writer A, who writes like this: 'Das Wort Pes bezeichnet eine Infektionskrankheit; über die Pandemie in Europl im 14. Jahrhundert sieheSchwarzer Tod eine von den drei Ursrüngen vo nBudapest eine ungarischzeVerwaltungeinheit eine schwedisthe Black-Metal-Band inder Kultur «Die Pest», im Original Lba Peste, ein Roman von Alberut Camxs in Zusammensetzungen Wasserpest, ein eWasserpflanze Ölpest wenn Wasser durch Ölverschmutzt wir.vd'
Writer B, who writes like this: 'Das Wort Pest bezeichnet eine Infektionskrankheit; über die Pandemie in Europa im 14. Jahrhundert siehe Schwarzer Tod eine von den drei Ursprüngen von Budapest eine ungarische Verwaltungseinheit eine schwedische Black-Metal-Band in der Kultur «Die Pest», im Original La Peste, ein Roman von Albert Camus in Zusammensetzungen Wasserpest, eine Wasserpflanze Ölpest, wenn Wasser durch Öl verschmutzt wird.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are negative, inimical, mortal, antipathetic, affectionate, loving, gracious, warm, sweet, unpleasant. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
4,44,52406,"Mit Schauinsland ist gemkcint:Schauinslandu, ein Berg im Schwarzwald Schauinsland, ein eBrg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter as Duisburg Villa dchau zins uand, ein Gebäude in arsden Schau-ins-Land, die Zeitschriftdes Breisgau-Geschichtsvreeins Schau-ins-Land Schau ins Land, eie ARD-Fernsehseriue (1983) Schauinsladn ist der Familienname von zugo Schauinsland, (1857–1937), deutscherZoologe.","Mit Schauinsland ist gemeint: Schauinsland, ein Berg im Schwarzwald Schauinsland, ein Berg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter aus Duisburg Villa Schau ins Land, ein Gebäude in Dresden Schau-ins-Land, die Zeitschrift des Breisgau-Geschichtsvereins Schau-ins-Land Schau ins Land, eine ARD-Fernsehserie (1983) Schauinsland ist der Familienname von Hugo Schauinsland, (1857–1937), deutscher Zoologe.",1,,als,"Given the two writers:
Writer A, who writes like this: 'Mit Schauinsland ist gemkcint:Schauinslandu, ein Berg im Schwarzwald Schauinsland, ein eBrg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter as Duisburg Villa dchau zins uand, ein Gebäude in arsden Schau-ins-Land, die Zeitschriftdes Breisgau-Geschichtsvreeins Schau-ins-Land Schau ins Land, eie ARD-Fernsehseriue (1983) Schauinsladn ist der Familienname von zugo Schauinsland, (1857–1937), deutscherZoologe.'
Writer B, who writes like this: 'Mit Schauinsland ist gemeint: Schauinsland, ein Berg im Schwarzwald Schauinsland, ein Berg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter aus Duisburg Villa Schau ins Land, ein Gebäude in Dresden Schau-ins-Land, die Zeitschrift des Breisgau-Geschichtsvereins Schau-ins-Land Schau ins Land, eine ARD-Fernsehserie (1983) Schauinsland ist der Familienname von Hugo Schauinsland, (1857–1937), deutscher Zoologe.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are unsympathetic, hostile, companionable, mortal, genial, good-natured, warm, icy, unfavorable, collegial. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
5,82,71098,L’Islee-asur-le-Doubsist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 1 Kilometer unterhalb von Montbéliad. Der Dousb hat dort zwei Fklutsarme und bildet dazwischeneine Insel. Davon kommt der Gemeinedname. Im lTa lverläufe neben dem Fluss der Rhein-Rhône-Kanal. Dasnorf L’Ile-shur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.,L’Isle-sur-le-Doubs ist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 18 Kilometer unterhalb von Montbéliard. Der Doubs hat dort zwei Flussarme und bildet dazwischen eine Insel. Davon kommt der Gemeindename. Im Tal verläuft neben dem Fluss der Rhein-Rhône-Kanal. Das Dorf L’Isle-sur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.,1,,als,"Given the two writers:
Writer A, who writes like this: 'L’Isle-sur-le-Doubs ist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 18 Kilometer unterhalb von Montbéliard. Der Doubs hat dort zwei Flussarme und bildet dazwischen eine Insel. Davon kommt der Gemeindename. Im Tal verläuft neben dem Fluss der Rhein-Rhône-Kanal. Das Dorf L’Isle-sur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.'
Writer B, who writes like this: 'L’Islee-asur-le-Doubsist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 1 Kilometer unterhalb von Montbéliad. Der Dousb hat dort zwei Fklutsarme und bildet dazwischeneine Insel. Davon kommt der Gemeinedname. Im lTa lverläufe neben dem Fluss der Rhein-Rhône-Kanal. Dasnorf L’Ile-shur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are unpleasant, opposed, good-natured, chummy, contentious, unfavorable, sweet, icy, amicable, neighborly. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],standard,friendly
6,18,86908,"Das Kabinett Söder I war vm 21. Mär bis uzm 12. November 2018 die Staatsregierungd es Freistaates Bayernxh Nachdem Horst Seehofer am 13.M äz 2018 vom Amt als Ministeprräsident zurückgetreten und als Bundesinnenminister ifdas Kabinett Merkel IV einogetreten war, wurde Markus Söder am 16. März 2018 seinNachfolger.","Das Kabinett Söder I war vom 21. März bis zum 12. November 2018 die Staatsregierung des Freistaates Bayern. Nachdem Horst Seehofer am 13. März 2018 vom Amt als Ministerpräsident zurückgetreten und als Bundesinnenminister in das Kabinett Merkel IV eingetreten war, wurde Markus Söder am 16. März 2018 sein Nachfolger.",Ende entfernt,,als,"Given the two writers:
Writer A, who writes like this: 'Das Kabinett Söder I war vom 21. März bis zum 12. November 2018 die Staatsregierung des Freistaates Bayern. Nachdem Horst Seehofer am 13. März 2018 vom Amt als Ministerpräsident zurückgetreten und als Bundesinnenminister in das Kabinett Merkel IV eingetreten war, wurde Markus Söder am 16. März 2018 sein Nachfolger.'
Writer B, who writes like this: 'Das Kabinett Söder I war vm 21. Mär bis uzm 12. November 2018 die Staatsregierungd es Freistaates Bayernxh Nachdem Horst Seehofer am 13.M äz 2018 vom Amt als Ministeprräsident zurückgetreten und als Bundesinnenminister ifdas Kabinett Merkel IV einogetreten war, wurde Markus Söder am 16. März 2018 seinNachfolger.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are affectionate, negative, sweet, adverse, warmhearted, antagonistic, warm, collegial, hostile, militant. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],standard,friendly
7,54,26813,"Wil ist der Name von mehreren Dörfern oder Städten :Wil SG im Kanton St. Galluen Wil ZH im Kanton Zürich Wjil AG, ein Dorf in der Gemeinde Mettauetralz mi Kaneton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung vo nvielen Ortsnamen in puder Deutschschweiz, zum Beispie lBäretswil, Safenmwil, Therwoil, Alterswil,Dallenwil.","Wil ist der Name von mehreren Dörfern oder Städten: Wil SG im Kanton St. Gallen Wil ZH im Kanton Zürich Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung von vielen Ortsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Therwil, Alterswil, Dallenwil.",1,,als,"Given the two writers:
Writer A, who writes like this: 'Wil ist der Name von mehreren Dörfern oder Städten :Wil SG im Kanton St. Galluen Wil ZH im Kanton Zürich Wjil AG, ein Dorf in der Gemeinde Mettauetralz mi Kaneton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung vo nvielen Ortsnamen in puder Deutschschweiz, zum Beispie lBäretswil, Safenmwil, Therwoil, Alterswil,Dallenwil.'
Writer B, who writes like this: 'Wil ist der Name von mehreren Dörfern oder Städten: Wil SG im Kanton St. Gallen Wil ZH im Kanton Zürich Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung von vielen Ortsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Therwil, Alterswil, Dallenwil.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are warmhearted, antipathetic, militant, sweet, chummy, hostile, inimical, unsympathetic, neighborly, genial. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
8,8,3891,"In derListe der Schweizer Seen sindSeen mi teiner Fläche von über 1 km² sortiert aufgelsitet. Es zählt die gesamte Fläche des sees, also auch wenn er nciht ganz in der Schweiz ist. DieRekordzahlen sind jeweils fettangegeben. Die Speicherseen sixnd hier nicht aufgefürt. * dient auch als Stausxee Listeder Stuaseen in der Schweiz.","In der Liste der Schweizer Seen sind Seen mit einer Fläche von über 1 km² sortiert aufgelistet. Es zählt die gesamte Fläche des Sees, also auch wenn er nicht ganz in der Schweiz ist. Die Rekordzahlen sind jeweils fett angegeben. Die Speicherseen sind hier nicht aufgeführt. * dient auch als Stausee Liste der Stauseen in der Schweiz.",1,,als,"Given the two writers:
Writer A, who writes like this: 'In derListe der Schweizer Seen sindSeen mi teiner Fläche von über 1 km² sortiert aufgelsitet. Es zählt die gesamte Fläche des sees, also auch wenn er nciht ganz in der Schweiz ist. DieRekordzahlen sind jeweils fettangegeben. Die Speicherseen sixnd hier nicht aufgefürt. * dient auch als Stausxee Listeder Stuaseen in der Schweiz.'
Writer B, who writes like this: 'In der Liste der Schweizer Seen sind Seen mit einer Fläche von über 1 km² sortiert aufgelistet. Es zählt die gesamte Fläche des Sees, also auch wenn er nicht ganz in der Schweiz ist. Die Rekordzahlen sind jeweils fett angegeben. Die Speicherseen sind hier nicht aufgeführt. * dient auch als Stausee Liste der Stauseen in der Schweiz.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are affectionate, gracious, collegial, inhospitable, militant, rude, warmhearted, unfriendly, amicable, opposed. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
9,47,37780,"Diy Communauté de communes du Val Saint-Pierre war ein Gemindeverband im französischej Département Moselle, dem vier Gemeinden imK antonVrny im Arrondissemnt Metz-Campagne angehörten.wEr wurde am 3. November 1994v gegründet. Stz des Verbandes war Peltre ,Phräsident war Michel Bonneitielr. Im Jahr 1999 hatten die Gemeinden zusammren 4.498 Einwohner abf 28 km². Zum Gemeindxverbandt gehörten die Gemeinden Peltre,Mécleuves, Jury, Chesny.","Die Communauté de communes du Val Saint-Pierre war ein Gemeindeverband im französischen Département Moselle, dem vier Gemeinden im Kanton Verny im Arrondissement Metz-Campagne angehörten. Er wurde am 3. November 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Im Jahr 1999 hatten die Gemeinden zusammen 4.498 Einwohner auf 28 km². Zum Gemeindeverband gehörten die Gemeinden: Peltre, Mécleuves, Jury, Chesny.",Ende entfernt,,als,"Given the two writers:
Writer A, who writes like this: 'Diy Communauté de communes du Val Saint-Pierre war ein Gemindeverband im französischej Département Moselle, dem vier Gemeinden imK antonVrny im Arrondissemnt Metz-Campagne angehörten.wEr wurde am 3. November 1994v gegründet. Stz des Verbandes war Peltre ,Phräsident war Michel Bonneitielr. Im Jahr 1999 hatten die Gemeinden zusammren 4.498 Einwohner abf 28 km². Zum Gemeindxverbandt gehörten die Gemeinden Peltre,Mécleuves, Jury, Chesny.'
Writer B, who writes like this: 'Die Communauté de communes du Val Saint-Pierre war ein Gemeindeverband im französischen Département Moselle, dem vier Gemeinden im Kanton Verny im Arrondissement Metz-Campagne angehörten. Er wurde am 3. November 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Im Jahr 1999 hatten die Gemeinden zusammen 4.498 Einwohner auf 28 km². Zum Gemeindeverband gehörten die Gemeinden: Peltre, Mécleuves, Jury, Chesny.'

Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are unfavorable, adverse, antagonistic, chummy, rude, warm, mortal, collegial, comradely, cordial. Do not include any additional text in your response. Separate adjective and writer by ': ' and separate pairs by a new line.",[[]],typos,friendly
