Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['anti-social', 'talkative']]",standard,friendly-1,['Writer A: talkative\nWriter B: anti-social']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['warm', 'distant']]",standard,friendly-1,['Writer A: distant\nWriter B: warm']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['chatty', 'uncommunicative']]",dialect,friendly-1,['Writer A: chatty\nWriter B: uncommunicative']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['anti-social', 'outgoing']]",dialect,friendly-1,['Writer A: anti-social\nWriter B: outgoing']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['anti-social', 'talkative']]",standard,friendly-1,['Writer A: anti-social\nWriter B: talkative']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['anti-social', 'outgoing']]",standard,friendly-1,['Writer A: outgoing\nWriter B: anti-social']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['outgoing', 'anti-social']]",standard,friendly-1,['Writer A: anti-social\nWriter B: outgoing']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['social', 'distant']]",standard,friendly-1,['Writer A: distant\nWriter B: social']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['talkative', 'anti-social']]",standard,friendly-1,['Writer A: anti-social\nWriter B: talkative']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['social', 'anti-social']]",standard,friendly-1,['Writer A: anti-social\nWriter B: social']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['social', 'reserved']]",standard,friendly-1,['Writer A: reserved\nWriter B: social']
11,36,43385,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['talkative', 'cold']]",dialect,friendly-1,['Writer A: talkative\nWriter B: cold']
12,101,32377,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['anti-social', 'chatty']]",dialect,friendly-1,['Writer A: anti-social\nWriter B: chatty']
13,39,36434,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['chatty', 'cold']]",dialect,friendly-1,['Writer A: chatty\nWriter B: cold']
14,98,62467,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['cold', 'outgoing']]",dialect,friendly-1,['Writer A: cold\nWriter B: outgoing']
15,65,84470,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['reserved', 'talkative']]",standard,friendly-1,['Writer A: reserved\nWriter B: talkative']
16,77,13325,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['distant', 'social']]",standard,friendly-1,['Writer A: distant\nWriter B: social']
17,32,62518,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['social', 'reserved']]",standard,friendly-1,['Writer A: reserved\nWriter B: social']
18,7,45200,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['cold', 'warm']]",dialect,friendly-1,['Writer A: warm\nWriter B: cold']
19,84,59721,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['chatty', 'reserved']]",dialect,friendly-1,['Writer A: chatty\nWriter B: reserved']
20,72,64381,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['cold', 'talkative']]",standard,friendly-1,['Writer A: cold\nWriter B: talkative']
21,51,52989,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['chatty', 'distant']]",standard,friendly-1,['Writer A: distant\nWriter B: chatty']
22,85,52554,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['cold', 'outgoing']]",dialect,friendly-1,['Writer A: cold\nWriter B: outgoing']
23,49,40324,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['warm', 'reserved']]",standard,friendly-1,['Writer A: reserved\nWriter B: warm']
24,76,72839,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['talkative', 'distant']]",dialect,friendly-1,['Writer A: talkative\nWriter B: distant']
25,31,92307,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['reserved', 'warm']]",dialect,friendly-1,['Writer A: reserved\nWriter B: warm']
26,42,35430,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,"[['talkative', 'reserved']]",standard,friendly-1,['Writer A: reserved\nWriter B: talkative']
27,0,36489,Writes in Alemannic German dialect.,Writes in standard German.,"Der Dialect-Text ist im Perfekt (vollendete Gegenwart) ""isch .. gsii"" und wird üblicherweise im Sprachgebrauch benutzt. Die Übersetzung ist im Präteritum ""war"" (erste Vergangenheitsform). Das Präteritum ist eher Schriftsprache und damit eleganter. ",,als,"[['outgoing', 'anti-social']]",dialect,friendly-1,['Writer A: outgoing\nWriter B: anti-social']
28,56,92412,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['distant', 'outgoing']]",dialect,friendly-1,['Writer A: distant\nWriter B: outgoing']
29,15,89207,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['chatty', 'distant']]",standard,friendly-1,['Writer A: distant\nWriter B: chatty']
30,75,10184,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['social', 'uncommunicative']]",standard,friendly-1,['Writer A: uncommunicative\nWriter B: social']
31,46,68845,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,"[['distant', 'warm']]",dialect,friendly-1,['Writer A: warm\nWriter B: distant']
