Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['friendly: A\ninimical: B\ninhospitable: B\nnegative: B\ncold: B\ncontentious: B\ngenial: A\nsweet: A\ngood-natured: A\namicable: A']
1,80,49563,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['unpleasant: B\ncold: B\nhostile: B\ngenial: A\nmerry: A\nneighborly: A\nmortal: B\nhospitable: A\nopposed: B\nwarmhearted: A']
2,61,73219,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['merry: B\nnegative: A\nhearty: A\ncold: B\nrude: A\nsweet: B\nunsympathetic: A\nunpleasant: A\ngenial: B\ngracious: B']
3,21,22741,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['merry: B\naffectionate: B\nconflicting: A\nsweet: B\ncompanionable: B\nantagonistic: A\nunpleasant: A\nunfavorable: A\nfriendly: B\nopposed: A']
4,44,52406,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['nice: A\nmerry: A\ninimical: B\ngenial: A\ninhospitable: B\nadverse: B\nfriendly: A\ncontentious: B\nconflicting: B\nhearty: A']
5,82,71098,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['collegial: B\ncordial: B\naffectionate: B\nheartless: A\nopposed: A\nloving: B\nunfavorable: A\nantagonistic: A\namicable: B\nmortal: A']
6,18,86908,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['adverse: B\ngenial: A\nmilitant: B\ncollegial: A\nopposed: B\nheartless: B\ncordial: A\nnice: A\naffectionate: A\nhostile: B']
7,54,26813,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['collegial: B\nfriendly: B\nmortal: B\nloving: B\nsweet: B\nmilitant: A\nunsympathetic: A\ngracious: B\nnegative: A\ninimical: A']
8,8,3891,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['cold: B\nunpleasant: B\nunfavorable: B\ncollegial: A\nhospitable: A\ngenial: A\nmilitant: B\nunsympathetic: B\ngracious: A\nchummy: A']
9,47,37780,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['sweet: A\ncold: A\nnice: A\namicable: A\nfriendly: A\nmortal: B\nopposed: B\nantagonistic: B\ncontentious: B\nloving: A']
10,25,61690,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['gracious: B\ncollegial: B\nhospitable: B\nantagonistic: A\ncold: A\ninimical: A\nunpleasant: A\nwarm: B\nunsympathetic: A\naffectionate: B']
11,36,43385,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['hospitable: B\ninhospitable: B\nfriendly: B\nmilitant: A\ngenial: B\nneighborly: B\nunpleasant: A\ngracious: B\nantipathetic: A\nicy: A']
12,101,32377,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['inimical: B\nunfriendly: B\nmortal: B\ncordial: A\naffectionate: A\nmilitant: B\ngood-natured: A\ngracious: A\ncomradely: A\nunpleasant: B']
13,39,36434,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['rude: B\ncomradely: A\nheartless: B\nloving: A\nunsympathetic: B\namicable: A\nneighborly: A\ncordial: A\nantipathetic: B\nantagonistic: B']
14,98,62467,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['inhospitable: B\ncordial: A\ngenial: A\nwarm: A\namicable: A\nhearty: A\nunpleasant: B\nmortal: B\ncold: B\nunsympathetic: B']
15,65,84470,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['icy: B\nhearty: A\nconflicting: B\nheartless: B\nunsympathetic: B\ngenial: A\nchummy: A\nhospitable: A\nantipathetic: B\nfriendly: A']
16,77,13325,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['unpleasant: B\namicable: B\nunfriendly: B\ncordial: B\nsweet: B\nfriendly: B\ncontentious: B\ninimical: B\nantipathetic: B\ncompanionable: B']
17,32,62518,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: A\nunsympathetic: B\nwarm: A\nunfriendly: B\nrude: B\nmortal: A\naffectionate: A\nloving: A\ngracious: A\ninhospitable: B']
18,7,45200,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['companionable: A\nopposed: B\nantipathetic: B\naffectionate: A\nhostile: B\nunpleasant: B\nloving: A\nicy: B\nhospitable: A\ngracious: A']
19,84,59721,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['cold: B\nunfavorable: B\nunpleasant: B\nadverse: B\ngenial: A\ncordial: A\nmilitant: B\nwarm: A\nloving: A\naffectionate: A']
20,72,64381,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['inimical: A\nhostile: A\nunpleasant: A\naffectionate: B\nmerry: B\namicable: B\nconflicting: A\nunsympathetic: A\nnice: B\ngood-natured: B']
21,51,52989,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['hostile: B\nheartless: B\nsweet: A\nunsympathetic: B\ninhospitable: B\nnice: A\naffectionate: A\nunfriendly: B\ncollegial: A\ncompanionable: A']
22,85,52554,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['sweet: A\nantipathetic: B\naffectionate: A\nhostile: B\ngracious: A\ncollegial: A\nmortal: B\nicy: B\namicable: A\nrude: B']
23,49,40324,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['unfriendly: B\nrude: B\ncompanionable: A\nunsympathetic: B\ncordial: A\nneighborly: A\nunpleasant: B\nsweet: A\nmilitant: B\naffectionate: A']
24,76,72839,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['neighborly: A\ncordial: B\nadverse: B\nmilitant: B\nwarmhearted: A\nhostile: B\nunpleasant: B\ncomradely: A\nsweet: A\nantagonistic: B']
25,31,92307,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['icy: B\nopposed: B\ncollegial: B\nwarm: A\nantagonistic: B\nneighborly: A\nmilitant: B\nunfriendly: B\nmerry: A\ncordial: B']
26,42,35430,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['sweet: A\nloving: A\nneighborly: A\nopposed: B\nicy: B\nchummy: A\ncompanionable: A\nunfavorable: B\nadverse: B\nantagonistic: B']
27,0,36489,Writes in dialect German.,Writes in standard German.,"Der Dialect-Text ist im Perfekt (vollendete Gegenwart) ""isch .. gsii"" und wird üblicherweise im Sprachgebrauch benutzt. Die Übersetzung ist im Präteritum ""war"" (erste Vergangenheitsform). Das Präteritum ist eher Schriftsprache und damit eleganter. ",,als,[[]],standard,friendly,['warmhearted: A\ngood-natured: A\nnice: A\nrude: B\nunfavorable: B\nneighborly: A\ncompanionable: A\nhostile: B\nopposed: B\ninhospitable: B']
28,56,92412,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['unpleasant: B\nunsympathetic: B\nloving: A\nhearty: A\nheartless: B\nhostile: B\naffectionate: A\nantipathetic: B\ncordial: A\nmerry: A']
29,15,89207,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['genial: A\nsweet: A\ncollegial: A\nmortal: B\ncompanionable: A\nunfriendly: B\ninimical: B\nwarmhearted: A\nopposed: B\nantagonistic: B']
30,75,10184,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['comradely: A\ngracious: A\nnice: A\nunsympathetic: B\nunfavorable: B\nloving: A\nmilitant: B\nmerry: A\nantagonistic: B\nadverse: B']
31,46,68845,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: A\nopposed: B\nsweet: A\nwarm: A\nunpleasant: B\ngood-natured: A\nheartless: B\ninhospitable: B\nhospitable: A\nantipathetic: B']
32,29,60418,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['chummy: A\nnegative: B\ncompanionable: A\nconflicting: B\nmerry: A\nopposed: B\nrude: B\namicable: A\nhospitable: A\nicy: B']
33,53,2542,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['hospitable: B\ncompanionable: B\nsweet: B\ngracious: B\nunpleasant: A\nrude: A\ninhospitable: A\nchummy: B\nheartless: A\ninimical: A']
34,5,57648,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['cold: B\nunfavorable: B\nwarmhearted: A\nnice: A\naffectionate: A\ncollegial: A\ninhospitable: B\nunsympathetic: B\nchummy: A\ninimical: B']
35,50,32088,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['cold: A\nmortal: A\nrude: B\ngenial: B\nloving: A\nnegative: A\ngracious: A\nsweet: A\ninhospitable: B\ncomradely: B']
