Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,dialect_original,concepts,writer_a,task,answer
0,2,30740,Writes in dialect German.,Writes in standard German.,1,,als,"E Grundrächenart isch eini vo de vier mathematische Operatore Wenn mehreri Rächenoperatione usgfüehrt wärde, gältet d Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online Grundrechenarten für Schüler erklärt Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle",[[]],standard,friendly,['unfriendly: B\nfriendly: A\nmerry: B\nnegative: A\nmortal: A\ninhospitable: B\ngracious: A\nantipathetic: A\nhearty: B\ncompanionable: A']
1,80,49563,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,"Staad isch de Name vo folgende Ort: Staad (Konstanz), en Stadttail vo Konstanz im Landchrais Konstanz, Bade-Würtebärg Staad SG, e Ortschaft i de Gmaind Thal im Kanton Sanggalle, Schwiz Staad SO, e Ortschaft i de Gmeind Gränche im Kanton Soledurn, Schwiz Staad, en Weiler i de Gmeind Düdinge im Kanton Friburg, Schwiz Staad, en Ortstail vo Wese im Kanton Sanggalle, Schwiz Staadwäg, e Strooss, wo z Güttinge an Bodesee abe füert.",[[]],standard,friendly,['negative: A\ngenial: A\nhospitable: A\nunpleasant: A\nunsympathetic: A\nloving: A\nmortal: A\ncomradely: B\nchummy: B\nunfavorable: A']
2,61,73219,Writes in dialect German.,Writes in standard German.,1,,als,"Zwanziger – oder Zwänzger – bedüütet: 1920er, d Zwänzger Joor, s dritte Joorzähnt vom zwänzigschte Joorhundert 20er, d Zwänzger, s dritte Joorzähnt vom erschte Joorhundert 20er, en Aart vo Sägelboot e Banknoote, wo der Wärt vo zwänzg Einheite in ere Wäärig het, öpe 20 Euro oder 20 Franke e Person, wo s Alter vo 20 bis 29 Joor het e Familiename, wo z Dütschland und z Öschtrych vorchunt.",[[]],standard,friendly,['militant: A \ncompanionable: B \nunsympathetic: A \nnice: B \nconflicting: A \ngenial: A \nhostile: A \nwarm: B \ngracious: A \nunfavorable: A']
3,21,22741,Writes in dialect German.,Writes in standard German.,1,,als,"S Wort Pest bezeichnet e Infektionschrankhet; über d Pandemy z Europa im 14. Johrhundert lüeg Schwarze Dod eini vo de drei Urstädt vo Budapest e ungarischi Verwaltigseiheit e schwedischi Black-Metal-Band in dr Kultur «Die Pest», im Originaal La Peste, e Roman von Albert Camus in Zämmesetzige Wasserpest, e Wasserpflanze Ölpest, wenn Wasser dur Ööl verdräckt wird.",[[]],typos,friendly,['warm: B \nhearty: A \ngenial: B \nnegative: B \nopposed: B \nhospitable: A \ninhospitable: A \ncompanionable: A \nrude: A \nicy: B']
4,44,52406,Writes in dialect German.,Writes in standard German.,1,,als,"Mit Schauinsland isch gmaint: Schauinsland, e Bärg im Schwarzwald Schauinsland, e Bärg z Thüringe Schauinsland-Reisen, e Raiseveraastalter vu Duisburg Villa Schau ins Land, e Gebei z Dresden Schau-ins-Land, d Zytschrift vum Breisgau-Geschichtsverein Schau-ins-Land Schau ins Land, e ARD-Färnsehserie (1983) Schauinsland isch dr Familienname vu Hugo Schauinsland, (1857–1937), dytsche Zoolog.",[[]],typos,friendly,['contentious: B\nmerry: A\nnegative: B\nneighborly: A\nhostile: B\nfriendly: A\nsweet: A\nantagonistic: B\ngenial: B\nadverse: B']
5,82,71098,Writes in dialect German.,Writes in standard German.,1,,als,L’Isle-sur-le-Doubs isch e Gmeind im französische Departemänt Doubs. S Dorf lyt im Doubstaal öppe 18 Kilometer underhalb vo Mömpelgard. Dr Doubs het do zwe Flussärm und bildet zwüschedrin en Insle. Do drvo chunt dr Gmeindname. Im Taal lauft näben em Fluss dr Rhy-Rhone-Kanal dure. S Dorf L’Isle-sur-le-Doubs isch a dr Hauptstrooss N 83 vo Bisanz uf Belfort.,[[]],typos,friendly,['conflicting: B \ncompanionable: B \nwarm: B \nheartless: B \nmerry: A \nopposed: B \ncordial: B \nunfavorable: B \nmortal: B \nsweet: A']
6,18,86908,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,"S Kabinett Söder I isch vum 21. Merz bis zum 12. Novämber 2018 d Staatsregierig vum Freistaat Bayern gsii. Wu dr Horst Seehofer am 13. Merz 2018 vum Amt as Minischterbresidänt zrufggdrätte un as Bundesinneminischter in s Kabinett Merkel IV yydrätten isch, isch dr Markus Söder am 16. Merz 2018 sy Noofolger wore.",[[]],typos,friendly,['nice: B\nopposed: A\nunsympathetic: A\nloving: B\nmortal: B\nhearty: B\nadverse: A\nhospitable: B\naffectionate: B\nicy: A']
7,54,26813,Writes in dialect German.,Writes in standard German.,1,,als,"Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl.",[[]],standard,friendly,['cold: A\ncompanionable: B\nadverse: A\nheartless: A\namicable: A\nloving: B\nmerry: B\nunpleasant: A\nopposed: A\ncollegial: A']
8,8,3891,Writes in dialect German.,Writes in standard German.,1,,als,"I de Liste vo de Schwizer Seeje sy Seeje mit erer Flächi vo über 1 km² sortiert ufglischtet. Es zellt di gsammti Flächi vom See, also au wänn er nöd ganz i de Schwiz isch. D Rekordzahle sy jewyls fett aggää. D Spycherseeje sy hier nid ufgfüert. * dient au als Stausee Lischte vo de Stauseeje ir Schwiz",[[]],standard,friendly,['conflicting: B\nmerry: A\ncold: B\nopposed: A\namicable: A\nhearty: A\nsweet: A\ngenial: A\nadverse: B\nunsympathetic: B']
9,47,37780,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,"D Communauté de communes du Val Saint-Pierre isch e Kommunalverband im franzesische Département Moselle gsii, wu vier Gmaine im Kanton Verny im Arrondissement Metz-Campagne aaghert hän. Är isch am 3. Novämber 1994 grindet wore. Sitz vum Verband isch Peltre gsii, Presidänt dr Michel Bonnetier. Im Johr 1999 hän d Gmaine zämme 4.498 Yywohner uf 28 km² ghaa. Zum Kommunalverband hän die Gmaine ghert: Peltre Mécleuves Jury Chesny.",[[]],typos,friendly,['friendly: A \nneighborly: A \nantipathetic: B \ncordial: B \nwarmhearted: A \ncold: B \nunfavorable: B \nunsympathetic: B \nhostile: B \ngracious: B']
