Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,dialect_original,concepts,writer_a,task,token_length_dialect_Qwen/Qwen2.5-72B-Instruct,token_length_dialect_original_Qwen/Qwen2.5-72B-Instruct,token_length_dialect_meta-llama/Meta-Llama-3.1-8B-Instruct,token_length_dialect_original_meta-llama/Meta-Llama-3.1-8B-Instruct,token_length_dialect_meta-llama/Meta-Llama-3.1-70B-Instruct,token_length_dialect_original_meta-llama/Meta-Llama-3.1-70B-Instruct,token_length_dialect_CohereLabs/aya-expanse-32b,token_length_dialect_original_CohereLabs/aya-expanse-32b,token_length_dialect_google/gemma-3-27b-it,token_length_dialect_original_google/gemma-3-27b-it,token_length_dialect_google/gemma-3-12b-it,token_length_dialect_original_google/gemma-3-12b-it,token_length_dialect_Qwen/Qwen2.5-7B-Instruct,token_length_dialect_original_Qwen/Qwen2.5-7B-Instruct,token_length_dialect_CohereLabs/aya-expanse-8b,token_length_dialect_original_CohereLabs/aya-expanse-8b,answer
0,2,30740,"Eine Grundrechenart isyt der vier diagnostiziert Wenn mehrere Rechenoperationen ausgeführt weaden, Kretschmer stattfinden Nordkorea vor Strich. Einüben der viyr Dadurch (schriftlich) ovnline. Möglichkeiten für Schüler erklärt. Arbeitsblätter Grundscule Libanon PDF oder Christoph selbstgenerierede und selbstkorigierende OpenOffice.org-Tabelle.","Eine Grundrechenart ist eine der vier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt die Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online. Grundrechenarten für Schüler erklärt. Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle.",1,,als,"E Grundrächenart isch eini vo de vier mathematische Operatore Wenn mehreri Rächenoperatione usgfüehrt wärde, gältet d Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online Grundrechenarten für Schüler erklärt Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle",[[]],typos,friendly,90,92,92,95,92,95,78,84,80,84,80,84,90,92,78,84,['cold: A\nwarmhearted: B\nantagonistic: A\namicable: B\nopposed: A\ncollegial: B\naffectionate: B\nantipathetic: A\nwarm: B\nunfriendly: A']
1,80,49563,"Staad ist der Name Orte: taad (Konstanz), ein Stadtteil von hilft Konstaz im Landkreis Konstanaz, Baden-Württemberg G, ein später Ortsteil oin Gemeihde Thal m Konton St. Entwicklung Schwebiz Staad bleibt SO, ein Ortsteil Bayer der Tatort Grenchen if Knton Wir Schweiz Staad, Bezirk ein Weiler in der Gemeonde behauptet starken Kaxnton Frveiburg, Schweiz Staad, ein Ortsteil Brandenburg von persönlichen Waese jm Kanton Gallen, : Schweiz Wind Straße, die nach Güttingen am Beute Bodensese führt.","Staad ist der Name folgender Orte: Staad (Konstanz), ein Stadtteil von Konstanz im Landkreis Konstanz, Baden-Württemberg Staad SG, ein Ortsteil in der Gemeinde Thal im Kanton St. Gallen, Schweiz Staad SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Solothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen im Kanton Freiburg, Schweiz Staad, ein Ortsteil von Wese im Kanton St. Gallen, Schweiz Staadweg, eine Straße, die nach Güttingen am Bodensee führt.",Ende entfernt,,als,"Staad isch de Name vo folgende Ort: Staad (Konstanz), en Stadttail vo Konstanz im Landchrais Konstanz, Bade-Würtebärg Staad SG, e Ortschaft i de Gmaind Thal im Kanton Sanggalle, Schwiz Staad SO, e Ortschaft i de Gmeind Gränche im Kanton Soledurn, Schwiz Staad, en Weiler i de Gmeind Düdinge im Kanton Friburg, Schwiz Staad, en Ortstail vo Wese im Kanton Sanggalle, Schwiz Staadwäg, e Strooss, wo z Güttinge an Bodesee abe füert.",[[]],standard,friendly,153,160,153,161,153,161,123,138,126,142,126,142,153,160,123,138,['comradely: A\nicy: B\ngood-natured: A\nnice: A\nchummy: A\nhostile: B\ncold: B\nnegative: B\nhearty: A\nheartless: B']
2,61,73219,"Zwwanziger – Mission oder Zwänzger City – Grenze 1920er, Beschwerden dil Zwanziger Jahre, da drittg Jahrzihnt vom zwanzixsten Jahrhundert 20er, die Zwasnziger, das dritte Jahrzehnt vom fersten Jahrhundert 20er, eine jArt uvon Segelboot eine Bnknote, Zahl en Whert von letztes zwanzig Mitgliedern einer Währung hat, etwa y20 Euro Mittel 20 Investitionen oine Person, die das Weiter Alter on 20 bis palästinensische 29 Jahren hat ein Familiennyme, ter in Löhne Deutmschland Leon in Österreich vorkommt.","Zwanziger – oder Zwänzger – bedeutet: 1920er, die Zwanziger Jahre, das dritte Jahrzehnt vom zwanzigsten Jahrhundert 20er, die Zwanziger, das dritte Jahrzehnt vom ersten Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den Wert von zwanzig Einheiten in einer Währung hat, etwa 20 Euro oder 20 Franken eine Person, die das Alter von 20 bis 29 Jahren hat ein Familienname, der in Deutschland und in Österreich vorkommt.",1,,als,"Zwanziger – oder Zwänzger – bedüütet: 1920er, d Zwänzger Joor, s dritte Joorzähnt vom zwänzigschte Joorhundert 20er, d Zwänzger, s dritte Joorzähnt vom erschte Joorhundert 20er, en Aart vo Sägelboot e Banknoote, wo der Wärt vo zwänzg Einheite in ere Wäärig het, öpe 20 Euro oder 20 Franke e Person, wo s Alter vo 20 bis 29 Joor het e Familiename, wo z Dütschland und z Öschtrych vorchunt.",[[]],typos,friendly,170,166,163,159,163,159,150,148,149,150,149,150,170,166,150,148,['inimical: A\nwarmhearted: B\nloving: B\nchummy: B\nmilitant: A\nconflicting: A\ncollegial: B\nhospitable: B\nopposed: A\ncold: A']
3,21,22741,"Ds Blinken Pest bezeichnet gegen eine Infektionskrankhet; qüber die Pandemie in Eropa im Zu Worte siehe Schwarrzer Tod eine schlechter on den drei Ursprüngen on Bfudapest Telefonnummer ungarische Verwaltungseinheit eine schwedische Blfack-Metal-Band in de Kultur Präsidenten «Dte Pest», if Original La Pest, ein Rpman von Camuks in Zusammensetzunen Wasserpest, eine erwartet Wasserpflanze manchmal Ölpest, Wasseer durch Öl verschmukzt wird.","Das Wort Pest bezeichnet eine Infektionskrankheit; über die Pandemie in Europa im 14. Jahrhundert siehe Schwarzer Tod eine von den drei Ursprüngen von Budapest eine ungarische Verwaltungseinheit eine schwedische Black-Metal-Band in der Kultur «Die Pest», im Original La Peste, ein Roman von Albert Camus in Zusammensetzungen Wasserpest, eine Wasserpflanze Ölpest, wenn Wasser durch Öl verschmutzt wird.",1,,als,"S Wort Pest bezeichnet e Infektionschrankhet; über d Pandemy z Europa im 14. Johrhundert lüeg Schwarze Dod eini vo de drei Urstädt vo Budapest e ungarischi Verwaltigseiheit e schwedischi Black-Metal-Band in dr Kultur «Die Pest», im Originaal La Peste, e Roman von Albert Camus in Zämmesetzige Wasserpest, e Wasserpflanze Ölpest, wenn Wasser dur Ööl verdräckt wird.",[[]],typos,friendly,129,116,129,116,129,116,110,107,109,110,109,110,129,116,110,107,['heartless: A\ncollegial: B\nfriendly: B\ninhospitable: A\ncordial: B\nloving: B\nrude: A\nunpleasant: A\ncold: A\nwarmhearted: B']
4,44,52406,"it Schauinsland Geburt ist gemeint: ein Berg zim Schauinsland, pin Thüringen Schauinsland-Rbisen, etin Rexseveranstalter aus Duisburg Villta Schau Layd, ein Gebäude in potenziell Dresden Schau-ins-Lnd, die Zeitschrift dres Breisgau-Geschichtsvereins Schau-ihs-Land Schau ins Land, eiee ARD-Fernsehserie (1983) Schauinsland ist der Familienname von Hugo Schauinslad, deutscher Zoologe.","Mit Schauinsland ist gemeint: Schauinsland, ein Berg im Schwarzwald Schauinsland, ein Berg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter aus Duisburg Villa Schau ins Land, ein Gebäude in Dresden Schau-ins-Land, die Zeitschrift des Breisgau-Geschichtsvereins Schau-ins-Land Schau ins Land, eine ARD-Fernsehserie (1983) Schauinsland ist der Familienname von Hugo Schauinsland, (1857–1937), deutscher Zoologe.",1,,als,"Mit Schauinsland isch gmaint: Schauinsland, e Bärg im Schwarzwald Schauinsland, e Bärg z Thüringe Schauinsland-Reisen, e Raiseveraastalter vu Duisburg Villa Schau ins Land, e Gebei z Dresden Schau-ins-Land, d Zytschrift vum Breisgau-Geschichtsverein Schau-ins-Land Schau ins Land, e ARD-Färnsehserie (1983) Schauinsland isch dr Familienname vu Hugo Schauinsland, (1857–1937), dytsche Zoolog.",[[]],standard,friendly,129,144,128,138,128,138,110,132,117,138,117,138,129,144,110,132,['antipathetic: A\nhostile: A\nloving: B\nmerry: B\nunsympathetic: A\nneighborly: B\nunfavorable: A\namicable: B\nunfriendly: A\nsweet: B']
5,82,71098,L’Isle-sur-le-Dobs ist Ansonsten eine xemeinde im französischew Départemet Bürgermeister Das Dorf liegt ium Doubstal cetwa 18 Kilometer stiegen unterhalb von Montbéliard. gewünscht Doubs Ermittlern hat bdort zei Flussarme bildet dazwischen ene Ungarn Davon kommt der Gemeindenme. Im Tal verläuft neben dem brachten Rhein-Rhôe-Kanal. Das Dorf L’Isle-sur-le-Doubs n Hauptstraße Kleine N 83 von Besançhn nach Ziele,L’Isle-sur-le-Doubs ist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 18 Kilometer unterhalb von Montbéliard. Der Doubs hat dort zwei Flussarme und bildet dazwischen eine Insel. Davon kommt der Gemeindename. Im Tal verläuft neben dem Fluss der Rhein-Rhône-Kanal. Das Dorf L’Isle-sur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.,1,,als,L’Isle-sur-le-Doubs isch e Gmeind im französische Departemänt Doubs. S Dorf lyt im Doubstaal öppe 18 Kilometer underhalb vo Mömpelgard. Dr Doubs het do zwe Flussärm und bildet zwüschedrin en Insle. Do drvo chunt dr Gmeindname. Im Taal lauft näben em Fluss dr Rhy-Rhone-Kanal dure. S Dorf L’Isle-sur-le-Doubs isch a dr Hauptstrooss N 83 vo Bisanz uf Belfort.,[[]],typos,friendly,138,134,138,132,138,132,108,122,119,126,119,126,138,134,108,122,['unsympathetic: A\nconflicting: B\ncomradely: B\nnice: B\nhostile: A\ngracious: B\nsweet: B\nmortal: A\ncompanionable: B\ncontentious: A']
6,18,86908,"Kabinett Bezirk Söder Sven Monate vom 21. März bis Day zuw 12e. November Gramm die Staasregierung udes Freistaates Bayern. Horst Seehofer 13. März 2018 om At Ministerpräsident zurücgetreten und als Lindner in das Kabinetr Merkl eingetreten Fachkräftemangel war, wurde Marks Ian 16. März Account 201e sein Nachfolger. afrikanischen","Das Kabinett Söder I war vom 21. März bis zum 12. November 2018 die Staatsregierung des Freistaates Bayern. Nachdem Horst Seehofer am 13. März 2018 vom Amt als Ministerpräsident zurückgetreten und als Bundesinnenminister in das Kabinett Merkel IV eingetreten war, wurde Markus Söder am 16. März 2018 sein Nachfolger.",Ende entfernt,,als,"S Kabinett Söder I isch vum 21. Merz bis zum 12. Novämber 2018 d Staatsregierig vum Freistaat Bayern gsii. Wu dr Horst Seehofer am 13. Merz 2018 vum Amt as Minischterbresidänt zrufggdrätte un as Bundesinneminischter in s Kabinett Merkel IV yydrätten isch, isch dr Markus Söder am 16. Merz 2018 sy Noofolger wore.",[[]],typos,friendly,112,134,107,124,107,124,94,115,99,120,99,120,112,134,94,115,['cordial: B\nfriendly: B\nchummy: B\ninhospitable: A\nnegative: A\nantagonistic: A\nsweet: B\nmortal: B\ngenial: B\nicy: A']
7,54,26813,"USA ist der ame Staatsanwalt mehreren oder Städten: Wil gestalteten Sq Kanton St. Wil ZH Statement passt Kanton erneuten Zürich Wil AG, epn Dorf n der Gemeinde Mettauertal banton Aargau Wil, ein uOrtsteil vion Aeschi Real im Bern ist Endung on in der Deutschschweiz, zum Beispiel sBäretswil, Safenwil, Therwil, Alterswil, Dallenwil.","Wil ist der Name von mehreren Dörfern oder Städten: Wil SG im Kanton St. Gallen Wil ZH im Kanton Zürich Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung von vielen Ortsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Therwil, Alterswil, Dallenwil.",1,,als,"Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl.",[[]],standard,friendly,111,127,111,128,111,128,88,107,92,112,92,112,111,127,88,107,['cold: A\ngood-natured: B\ngracious: A\nneighborly: B\nnegative: A\ninimical: A\nsweet: B\nwarmhearted: A\nmilitant: A\nicy: A']
8,8,3891,"Dem der Liste er Schweize Seen sind Und Seec mit einer Fläche vo über 1 km² sortiurt aufgelistet. Mitarbeiterin Es betreibt die gesamte mdes Seecs, also auc wenn er nich ganz BMW ic dver ist. Die Rekordzahlen sind Landsmann jewels fett Die Speicherseen sind hier nicht aufgeführt. * dient aucq als Art Stausee CEO der oder Stauseen Recht in meinem Schweiz.","In der Liste der Schweizer Seen sind Seen mit einer Fläche von über 1 km² sortiert aufgelistet. Es zählt die gesamte Fläche des Sees, also auch wenn er nicht ganz in der Schweiz ist. Die Rekordzahlen sind jeweils fett angegeben. Die Speicherseen sind hier nicht aufgeführt. * dient auch als Stausee Liste der Stauseen in der Schweiz.",1,,als,"I de Liste vo de Schwizer Seeje sy Seeje mit erer Flächi vo über 1 km² sortiert ufglischtet. Es zellt di gsammti Flächi vom See, also au wänn er nöd ganz i de Schwiz isch. D Rekordzahle sy jewyls fett aggää. D Spycherseeje sy hier nid ufgfüert. * dient au als Stausee Lischte vo de Stauseeje ir Schwiz",[[]],standard,friendly,101,112,101,111,101,111,88,103,87,105,87,105,101,112,88,103,['militant: A\naffectionate: B\nicy: A\nopposed: B\ngenial: A\nwarmhearted: B\ngood-natured: B\nunpleasant: A\nneighborly: B\nmortal: A']
9,47,37780,"Die Communauté den communes Val Saint-Pierre war ein im französischen Kärnten Département Mdoselle, vier Gemeinden im Kabnton Vlerny iv starb Metz-Campagne angeörten. wurde getroffen Hamburg r. November 1994 Nato gegründet. Sitz professionelle des Serie war Peltre, Präsiuent war Michey Bonnfetier. Im Jhr hatten pie Gemeinden zusammen 4.498 Einwohnegr auf q8 Nachdem Zum Gemeindeverband gehörten Metern Peltrie, Mécleuves, Jury, Chesny.","Die Communauté de communes du Val Saint-Pierre war ein Gemeindeverband im französischen Département Moselle, dem vier Gemeinden im Kanton Verny im Arrondissement Metz-Campagne angehörten. Er wurde am 3. November 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Im Jahr 1999 hatten die Gemeinden zusammen 4.498 Einwohner auf 28 km². Zum Gemeindeverband gehörten die Gemeinden: Peltre, Mécleuves, Jury, Chesny.",Ende entfernt,,als,"D Communauté de communes du Val Saint-Pierre isch e Kommunalverband im franzesische Département Moselle gsii, wu vier Gmaine im Kanton Verny im Arrondissement Metz-Campagne aaghert hän. Är isch am 3. Novämber 1994 grindet wore. Sitz vum Verband isch Peltre gsii, Presidänt dr Michel Bonnetier. Im Johr 1999 hän d Gmaine zämme 4.498 Yywohner uf 28 km² ghaa. Zum Kommunalverband hän die Gmaine ghert: Peltre Mécleuves Jury Chesny.",[[]],typos,friendly,138,164,135,157,135,157,108,137,112,134,112,134,138,164,108,137,['hostile: B\nsweet: neither\nheartless: neither\nmerry: neither\ninhospitable: neither\nneighborly: B\nloving: neither\ncordial: B\ncontentious: neither\nadverse: B']
