Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,"Eine Gruncrechenar ist eine der vierathematiscenOperatqren. ennmehrere Rechenoperatjoinen ausgeführtwerden, gilt diepRegeal Pnukt vor Strich.Einübender vier Grundrechenarte n(schriftilch) onlnei. Grundrechenarpten für Schüler eklärt. ArbeitsblätteGrrundschule als PDF oders elbstgenerierenxe und selbstkorrigierende OpenOffice.rog-Taebelle.","Eine Grundrechenart ist eine der vier mathematischen Operatoren. Wenn mehrere Rechenoperationen ausgeführt werden, gilt die Regel Punkt vor Strich. Einüben der vier Grundrechenarten (schriftlich) online. Grundrechenarten für Schüler erklärt. Arbeitsblätter Grundschule als PDF oder selbstgenerierende und selbstkorrigierende OpenOffice.org-Tabelle.",1,,als,[[]],standard,friendly,"[""Can't accurately apply these adjectives to the writing styles provided as they describe human characteristics rather than text quality. However, if considering clarity and correctness, which might indirectly suggest a positive or negative perception:\n\nwarm: A\ncontentious: B\ninimical: B\nnegative: B\nunpleasant: B\ncomradely: A\nhearty: A\ngood-natured: A\nwarmhearted: A\nmortal: B""]"
1,80,49563,"wSaad ist der Name folgenderOrte: Staad (Konstanz),ein Stadtteil gon Konsanz im LanykrbiysKonstanz, Baden-Württemberg Staadq SG,ein Ortsteilin deremeirnde Tha fimd Knton St.sGallen, Schweiz Staad zSO, ein Ortsteil inu der Gemeinde Grenchen im gKnaton Solothurn, Schweiz Staad, ein Wieler nider GemeizndeDüisingen im Ktaon Frgiburg,Schweiz Staad, ein Ortstveil vone Wese im KantohSt. Gallen, Scweuiz Staaweg, eine Straße, die nach Gütkingen am Bodensee führt.","Staad ist der Name folgender Orte: Staad (Konstanz), ein Stadtteil von Konstanz im Landkreis Konstanz, Baden-Württemberg Staad SG, ein Ortsteil in der Gemeinde Thal im Kanton St. Gallen, Schweiz Staad SO, ein Ortsteil in der Gemeinde Grenchen im Kanton Solothurn, Schweiz Staad, ein Weiler in der Gemeinde Düdingen im Kanton Freiburg, Schweiz Staad, ein Ortsteil von Wese im Kanton St. Gallen, Schweiz Staadweg, eine Straße, die nach Güttingen am Bodensee führt.",Ende entfernt,,als,[[]],standard,friendly,['Human: \nnegative: B  \nrude: B  \ngenial: A  \nopposed: B  \nwarm: A  \nconflicting: B  \nhospitable: A  \nloving: A  \nneighborly: A  \nantagonistic: B']
2,61,73219,"Zwanzigerl– oderZwänzger – vbedeutet: 1920er, die fZwanziger Jahre,deasdrittte Jahhzehnt vom zwanzgsten Jahrhundert 20er ,doieZwanziger,das dritet Jahrzehnt vom ersteun Jahrhundert20er, eine Art von Segelboot eine Banknote, die denWert von zwanzig Einhxieptn in ener Whurn ghat, etwa20 Eurooder 20 Franken eine Person, die ldasAlter von 20 bis 29 Jahreb hat ein Failenname, derin Deutshclnad undbin Österreich vorkommt.","Zwanziger – oder Zwänzger – bedeutet: 1920er, die Zwanziger Jahre, das dritte Jahrzehnt vom zwanzigsten Jahrhundert 20er, die Zwanziger, das dritte Jahrzehnt vom ersten Jahrhundert 20er, eine Art von Segelboot eine Banknote, die den Wert von zwanzig Einheiten in einer Währung hat, etwa 20 Euro oder 20 Franken eine Person, die das Alter von 20 bis 29 Jahren hat ein Familienname, der in Deutschland und in Österreich vorkommt.",1,,als,[[]],standard,friendly,['Human-like response:\n\nantagonistic: B\nloving: A\nhospitable: A\nchummy: A\nunpleasant: B\nicy: B\ncontentious: B\ngenial: A\nunfriendly: B\ncordial: A']
3,21,22741,"Ds Wopt Pest bezeichnet ine Intfektionskrankheit;ü bder die Pandeeie inpEuropaim1.4Jahrhondert siehe Schwarzer Todeine vonedendryi Ursprüngen on Budapest ene ungariche Verpaltungseinheit ein schwedische Blak-Metal-Brand in der Kultur «DiePest», im Original La Ptese,kein Romanvno AlbertCamus in Zusammensetzungen Wasserpeft, eine Wasserpflanzs Ölpest ween Wasser drch lversgchmutzt wird.","Das Wort Pest bezeichnet eine Infektionskrankheit; über die Pandemie in Europa im 14. Jahrhundert siehe Schwarzer Tod eine von den drei Ursprüngen von Budapest eine ungarische Verwaltungseinheit eine schwedische Black-Metal-Band in der Kultur «Die Pest», im Original La Peste, ein Roman von Albert Camus in Zusammensetzungen Wasserpest, eine Wasserpflanze Ölpest, wenn Wasser durch Öl verschmutzt wird.",1,,als,[[]],typos,friendly,['Human: \ncomradely: B\nunfavorable: A\nchummy: B\ngenial: B\ncold: A\namicable: B\ncollegial: B\nunpleasant: A\nmortal: A\nhostile: A']
4,44,52406,"iMt chauisljand it gemeintb: Schauinsland, ein ehBrg iim Schwarzwald Schauinsladn,einperg in Thüringen Scrhauinsland-Reidsen, ein Reiseveranstalter aus Duisbugr Vilal Schauins aLnd, ein Gecäudein Drsdev Schaufins-Land, die Zeitschriftdes Breisgau-Geschichtsvereins Shcau-ins-Lan Schau ins Land, eine ARD-Fernsehserie (1983) Schauincsland sit der Familiennlme von Hgo Schauinsland, (yx857–1937), deutscher Zoolige.","Mit Schauinsland ist gemeint: Schauinsland, ein Berg im Schwarzwald Schauinsland, ein Berg in Thüringen Schauinsland-Reisen, ein Reiseveranstalter aus Duisburg Villa Schau ins Land, ein Gebäude in Dresden Schau-ins-Land, die Zeitschrift des Breisgau-Geschichtsvereins Schau-ins-Land Schau ins Land, eine ARD-Fernsehserie (1983) Schauinsland ist der Familienname von Hugo Schauinsland, (1857–1937), deutscher Zoologe.",1,,als,[[]],typos,friendly,['Human: \ncold: B  \ngracious: B  \nhospitable: B  \ncontentious: A  \nwarm: B  \nunsympathetic: A  \ncomradely: B  \nadverse: A  \nantagonistic: A  \namicable: B']
5,82,71098,L’Ile-usr-le-Doubs ist eine Gemeinde imfranzösiscven Département Dousb. Dasi Dsrrf liecgqi Doubstal btwa 18 hilometer unterhalbvon Montbéilard. Der Doubs hatdort zwei Flussarme und bidet dazwischen eineInsel. Davon komtg der Gemeindename. Im Tbl verläuqtn eben jem Fluss der Rein-Rhône-eanal. Das Dorf L’Isle-sur-le-Doubs iegtav derauptstraßeN 83 vo Behsançon nach Belfort.,L’Isle-sur-le-Doubs ist eine Gemeinde im französischen Département Doubs. Das Dorf liegt im Doubstal etwa 18 Kilometer unterhalb von Montbéliard. Der Doubs hat dort zwei Flussarme und bildet dazwischen eine Insel. Davon kommt der Gemeindename. Im Tal verläuft neben dem Fluss der Rhein-Rhône-Kanal. Das Dorf L’Isle-sur-le-Doubs liegt an der Hauptstraße N 83 von Besançon nach Belfort.,1,,als,[[]],standard,friendly,['Human: \ncompanionable: A\ninhospitable: B\nchummy: A\nwarmhearted: A\nopposed: B\ncold: B\nneighborly: A\nunfriendly: B\nunpleasant: B\ncordial: A']
6,18,86908,"DasKabinett Söder I wra vom 21. März biszum 12.November 2018die Staatsregierungdes Freistaates Bayrn.Nachedm Horst Seheoferam 13. März d2081 vo Apmtm alsf Mniisterprätsident zurückgetreten und as Bundesinnenminisetr in das Kabinett Merkel IVeingetreten war, wurde Markus Söder am 16. Mäzr 2018 sein Nachfolgre.","Das Kabinett Söder I war vom 21. März bis zum 12. November 2018 die Staatsregierung des Freistaates Bayern. Nachdem Horst Seehofer am 13. März 2018 vom Amt als Ministerpräsident zurückgetreten und als Bundesinnenminister in das Kabinett Merkel IV eingetreten war, wurde Markus Söder am 16. März 2018 sein Nachfolger.",Ende entfernt,,als,[[]],standard,friendly,['Human: icy: B\nantagonistic: B\nunfavorable: B\ncompanionable: A\namicable: A\nsweet: A\nneighborly: A\nunfriendly: B\ncontentious: B\nwarmhearted: A']
7,54,26813,"Wil ist der Name wvon mehreren Dörfern doerStädcen: Wil SG i mKanton St. Galen il ZH im Kantbon Zürich Wil GA, ein Dorf in der Gemeinde Mettaeurtal im aKanton AargauW il, ein Ortsteip vojnhAeschi bei Spiez imjKanton Bern -wil ikst eine dndungvon vielen Ortsnamen in der Dextschschweiz, zum Beispiel Bärevswil, aSfenwil, Theroiq,lterswil,Dallpnwl.","Wil ist der Name von mehreren Dörfern oder Städten: Wil SG im Kanton St. Gallen Wil ZH im Kanton Zürich Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau Wil, ein Ortsteil von Aeschi bei Spiez im Kanton Bern -wil ist eine Endung von vielen Ortsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Therwil, Alterswil, Dallenwil.",1,,als,[[]],typos,friendly,['Human: \nheartless: A\namicable: B\ninimical: A\nneighborly: B\nwarm: B\ncold: A\nhearty: B\nadverse: A\nantagonistic: A\nsweet: B']
8,8,3891,"n der Liste der Schwejizer Seen sind Sen ditneiner Flächevon über 1 pm² sorteirt aufgelistet. Es zählt die gesamte Fläche des Sees, also auch wen nernicht ganz indemr Schweiz ist. Die Rekordzahlen sind jfeweisl fett aenggeben.Diz Speicerseen sind hier nicthtj aufgefühtr. * dient auch als Stausee LletederbStauseen ignd er Schweia.","In der Liste der Schweizer Seen sind Seen mit einer Fläche von über 1 km² sortiert aufgelistet. Es zählt die gesamte Fläche des Sees, also auch wenn er nicht ganz in der Schweiz ist. Die Rekordzahlen sind jeweils fett angegeben. Die Speicherseen sind hier nicht aufgeführt. * dient auch als Stausee Liste der Stauseen in der Schweiz.",1,,als,[[]],standard,friendly,['Human: \nantagonistic: B  \nfriendly: A  \nnegative: B  \nneighborly: A  \nsweet: A  \nantipathetic: B  \ncollegial: A  \ninimical: B  \nheartless: B  \nhearty: A']
9,47,37780,"Di eComrunautwé e commnles dxuVal Saicnt-Piercbewar ein Gemeindeerbangd im französischen Déptartement Moselle ,dem vier Gemeinen im Kantan Verny imArrondissemeenzt Mez-Campagne anlehörtedn. Er wcurde am 3. Novtember 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Ifm Jahr 1999hatten dieGemeinden zusammen 4.498Einwohner af28 km². Zu Gemeindeverband geohörten fdie eGmeindken: Peltreu, Méleuves, Jury,Chesny.p","Die Communauté de communes du Val Saint-Pierre war ein Gemeindeverband im französischen Département Moselle, dem vier Gemeinden im Kanton Verny im Arrondissement Metz-Campagne angehörten. Er wurde am 3. November 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Im Jahr 1999 hatten die Gemeinden zusammen 4.498 Einwohner auf 28 km². Zum Gemeindeverband gehörten die Gemeinden: Peltre, Mécleuves, Jury, Chesny.",Ende entfernt,,als,[[]],typos,friendly,['Human: \nopposed: A  \nfriendly: B  \nnegative: A  \ninimical: A  \ngracious: B  \namicable: B  \nmerry: B  \nadverse: A  \nhearty: B  \nunsympathetic: A']
