,id,language,text_type,text,prompts
0,0,als,standard_text,"Saladin ist der Geschlechtsname folgender Personen:  Barbara Saladin (* 1976), Schweizer Autorin und Journalistin  Guntram Saladin (1887–1958), Schweizer Lexikograf und Ortsnamensforscher  Lorenz Saladin (1896–1936), Schweizer Expeditionbergsteiger und Fotograf  Siehe auch: Saladin (≈1137–1193), kurdischer Feldherr und Sultan","A person wrote the following text: 'Saladin ist der Geschlechtsname folgender Personen:  Barbara Saladin (* 1976), Schweizer Autorin und Journalistin  Guntram Saladin (1887–1958), Schweizer Lexikograf und Ortsnamensforscher  Lorenz Saladin (1896–1936), Schweizer Expeditionbergsteiger und Fotograf  Siehe auch: Saladin (≈1137–1193), kurdischer Feldherr und Sultan'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
1,1,als,standard_text,"Das Mare Moscoviense (lat. ""Moskauer Meer"") ist das einzige Mondmeer auf der Rückseite des Mondes. Es ist offensichtlich ein mit Lava gefüllter Einschlagkrater mit seinem Zentrum bei 27° 18' Nord und 147° 54' Ost. Der mittlere Durchmesser beträgt 277 km. Große Krater sind Komarov im Südosten und Titov im Norden. Siehe auch die Liste der Gewässer im Erdmond. http://planetarynames.wr.usgs.gov (Engl.)","A person wrote the following text: 'Das Mare Moscoviense (lat. ""Moskauer Meer"") ist das einzige Mondmeer auf der Rückseite des Mondes. Es ist offensichtlich ein mit Lava gefüllter Einschlagkrater mit seinem Zentrum bei 27° 18' Nord und 147° 54' Ost. Der mittlere Durchmesser beträgt 277 km. Große Krater sind Komarov im Südosten und Titov im Norden. Siehe auch die Liste der Gewässer im Erdmond. http://planetarynames.wr.usgs.gov (Engl.)'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
2,2,als,standard_text,"Die Burg Hammerstein ist eine abgegangene Burg bei Wullbach, einem Ortsteil der Gemeinde Kandern im Landkreis Lörrach in Baden-Württemberg. Die Burg war eine Währanlage zum Schutz des Wullbacher Hammerwerks. Von der ehemaligen Burganlage sind noch geringe Mauerreste erhalten. Quelle: Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. Die Burg Hammerstein auf burgeninventar.de.","A person wrote the following text: 'Die Burg Hammerstein ist eine abgegangene Burg bei Wullbach, einem Ortsteil der Gemeinde Kandern im Landkreis Lörrach in Baden-Württemberg. Die Burg war eine Währanlage zum Schutz des Wullbacher Hammerwerks. Von der ehemaligen Burganlage sind noch geringe Mauerreste erhalten. Quelle: Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. Die Burg Hammerstein auf burgeninventar.de.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
3,3,als,standard_text,"Krummenau ist der Name folgender Orte: Krummenau (Hunsrück), eine Gemeinde im Landkreis Birkenfeld in Rheinland-Pfalz, Deutschland Krummenau (Neustadt), ein Ortsteil der Gemeinde Neustadt (Wied) im Landkreis Neuwied, Rheinland-Pfalz, Deutschland Krummenau SG, eine Ortschaft in der Gemeinde Nesslau und ehemalige Gemeinde im Kanton St. Gallen, Schweiz Krummenau ist der Name folgender Fließgewässer: Krummenau (Lister), ein Zufluss der Lister im Märkischen Kreis in Nordrhein-Westfalen, Deutschland","A person wrote the following text: 'Krummenau ist der Name folgender Orte: Krummenau (Hunsrück), eine Gemeinde im Landkreis Birkenfeld in Rheinland-Pfalz, Deutschland Krummenau (Neustadt), ein Ortsteil der Gemeinde Neustadt (Wied) im Landkreis Neuwied, Rheinland-Pfalz, Deutschland Krummenau SG, eine Ortschaft in der Gemeinde Nesslau und ehemalige Gemeinde im Kanton St. Gallen, Schweiz Krummenau ist der Name folgender Fließgewässer: Krummenau (Lister), ein Zufluss der Lister im Märkischen Kreis in Nordrhein-Westfalen, Deutschland'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
4,4,als,standard_text,"Wil ist der Name mehrerer Dörfer oder Städte: Wil SG im Kanton St. Gallen, Wil ZH im Kanton Zürich, Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau, Wil, ein Ortsteil von Aefligen im Kanton Bern. Wil ist eine Endung vieler Ortschaftsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Teerwil, Altishofen, Dällikon.","A person wrote the following text: 'Wil ist der Name mehrerer Dörfer oder Städte: Wil SG im Kanton St. Gallen, Wil ZH im Kanton Zürich, Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau, Wil, ein Ortsteil von Aefligen im Kanton Bern. Wil ist eine Endung vieler Ortschaftsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Teerwil, Altishofen, Dällikon.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
5,5,als,standard_text,"Die Ryburg, auch Rihburg oder Iburg genannt, ist eine Burgruine bei Buch, einem Ortsteil der Gemeinde Albbruck am Hochrhein im Landkreis Waldshut in Baden-Württemberg. Die Burg liegt beim Bucher Weiler Steibach. Die Ryburg wurde Anfang des 13. Jahrhunderts von den Edlen von Steinbach erbaut. Sie wurde 1272 geschleift und danach nicht wieder aufgebaut. Von der Burganlage sind heute nur noch geringe Reste erhalten. Burgen im Landkreis Waldshut auf burgeninventar.de.","A person wrote the following text: 'Die Ryburg, auch Rihburg oder Iburg genannt, ist eine Burgruine bei Buch, einem Ortsteil der Gemeinde Albbruck am Hochrhein im Landkreis Waldshut in Baden-Württemberg. Die Burg liegt beim Bucher Weiler Steibach. Die Ryburg wurde Anfang des 13. Jahrhunderts von den Edlen von Steinbach erbaut. Sie wurde 1272 geschleift und danach nicht wieder aufgebaut. Von der Burganlage sind heute nur noch geringe Reste erhalten. Burgen im Landkreis Waldshut auf burgeninventar.de.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
6,6,als,standard_text,"Das 62. Critérium du Dauphiné war ein Etappenrennen, das vom 6. bis 13. Juni 2010 stattfand. Es bestand aus einem Prolog und sieben Etappen. Das Critérium du Dauphiné ist ein ProTour-Rennen, und alle 18 ProTour-Mannschaften nehmen teil. Dazu wurden vier Mannschaften von der Continental Pro eingeladen: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.","A person wrote the following text: 'Das 62. Critérium du Dauphiné war ein Etappenrennen, das vom 6. bis 13. Juni 2010 stattfand. Es bestand aus einem Prolog und sieben Etappen. Das Critérium du Dauphiné ist ein ProTour-Rennen, und alle 18 ProTour-Mannschaften nehmen teil. Dazu wurden vier Mannschaften von der Continental Pro eingeladen: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
7,7,als,standard_text,"Du findest eine Liste von den Sternen, die man mit dem bloßen Auge sehen kann. Es ist einfach eine Liste aller sichtbaren Fixsterne, also aller Sterne außer der Sonne. Als Grenzhelligkeit für die Sichtbarkeit mit dem bloßen Auge bei optimalen Bedingungen gilt 6,5 mag. Alle Koordinaten in dieser Liste beziehen sich auf die Epoche J2000. Du kannst auch die weitere Liste von Sternen lesen. HR.... = Bright-Star-Katalog HD..... = Henry-Draper-Katalog.","A person wrote the following text: 'Du findest eine Liste von den Sternen, die man mit dem bloßen Auge sehen kann. Es ist einfach eine Liste aller sichtbaren Fixsterne, also aller Sterne außer der Sonne. Als Grenzhelligkeit für die Sichtbarkeit mit dem bloßen Auge bei optimalen Bedingungen gilt 6,5 mag. Alle Koordinaten in dieser Liste beziehen sich auf die Epoche J2000. Du kannst auch die weitere Liste von Sternen lesen. HR.... = Bright-Star-Katalog HD..... = Henry-Draper-Katalog.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
8,8,als,standard_text,"Der Dude ist die französische Rockband The Dude, ein Film von Jeff Feuerzeig aus dem Jahr 2011, eine Figur im Film The Big Lebowski aus dem Jahr 1998, eine Figur im Film Rio Bravo aus dem Jahr 1959, ein Album von Quincy Jones aus dem Jahr 1981, ein Album von Devin the Rapper aus dem Jahr 1998 und ein Netzwerkmonitorprogramm von MikroTik.","A person wrote the following text: 'Der Dude ist die französische Rockband The Dude, ein Film von Jeff Feuerzeig aus dem Jahr 2011, eine Figur im Film The Big Lebowski aus dem Jahr 1998, eine Figur im Film Rio Bravo aus dem Jahr 1959, ein Album von Quincy Jones aus dem Jahr 1981, ein Album von Devin the Rapper aus dem Jahr 1998 und ein Netzwerkmonitorprogramm von MikroTik.'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
9,9,als,standard_text,"Need Your Loving Tonight ist ein Lied der britischen Rockband Queen. Es wurde vom Bassisten John Deacon geschrieben. Das Lied ist das vierte Stück auf dem Album The Game.  Freddie Mercury - Gesang  Brian May - Gitarre, Gesang  John Deacon - Bass, akustische Gitarre  Roger Taylor - Schlagzeug, Gesang  Need Your Loving Tonight auf queenonline.com, der offiziellen Website der Band  Queen  John Deacon • Brian May • Freddie Mercury • Roger Taylor  Auszeichnungen für Musikverkäufe  Lieder","A person wrote the following text: 'Need Your Loving Tonight ist ein Lied der britischen Rockband Queen. Es wurde vom Bassisten John Deacon geschrieben. Das Lied ist das vierte Stück auf dem Album The Game.  Freddie Mercury - Gesang  Brian May - Gitarre, Gesang  John Deacon - Bass, akustische Gitarre  Roger Taylor - Schlagzeug, Gesang  Need Your Loving Tonight auf queenonline.com, der offiziellen Website der Band  Queen  John Deacon • Brian May • Freddie Mercury • Roger Taylor  Auszeichnungen für Musikverkäufe  Lieder'. Disregarding the content of the text, what do you think is the highest degree of this person writing this text is? Only answer with the highest degree:"
