,id,language,standard_text,dialect_text,prompts
0,0,als,"Saladin ist der Geschlechtsname folgender Personen:  Barbara Saladin (* 1976), Schweizer Autorin und Journalistin  Guntram Saladin (1887–1958), Schweizer Lexikograf und Ortsnamensforscher  Lorenz Saladin (1896–1936), Schweizer Expeditionbergsteiger und Fotograf  Siehe auch: Saladin (≈1137–1193), kurdischer Feldherr und Sultan","Saladin isch de Gschlächtsname vo dëne Lüüt: Barbara Saladin (* 1976), Schwyzer Autoorin und Schurnalischtin Guntram Saladin (1887–1958), Schwyzer Läxikograaf und Oortsnameforscher Lorenz Saladin (1896–1936), Schwyzer Expedizioonsbëërgstyger und Fotograaf Lueg au: Saladin (≈1137–1193), kurdische Fäldhërr und Sultaan","Given the two writers:
Writer A: 'Saladin ist der Geschlechtsname folgender Personen:  Barbara Saladin (* 1976), Schweizer Autorin und Journalistin  Guntram Saladin (1887–1958), Schweizer Lexikograf und Ortsnamensforscher  Lorenz Saladin (1896–1936), Schweizer Expeditionbergsteiger und Fotograf  Siehe auch: Saladin (≈1137–1193), kurdischer Feldherr und Sultan'
Writer B: 'Saladin isch de Gschlächtsname vo dëne Lüüt: Barbara Saladin (* 1976), Schwyzer Autoorin und Schurnalischtin Guntram Saladin (1887–1958), Schwyzer Läxikograaf und Oortsnameforscher Lorenz Saladin (1896–1936), Schwyzer Expedizioonsbëërgstyger und Fotograaf Lueg au: Saladin (≈1137–1193), kurdische Fäldhërr und Sultaan'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are chummy, cordial, warmhearted, amicable, comradely, cordial, companionable, gracious, nice, neighborly. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
1,1,als,"Das Mare Moscoviense (lat. ""Moskauer Meer"") ist das einzige Mondmeer auf der Rückseite des Mondes. Es ist offensichtlich ein mit Lava gefüllter Einschlagkrater mit seinem Zentrum bei 27° 18' Nord und 147° 54' Ost. Der mittlere Durchmesser beträgt 277 km. Große Krater sind Komarov im Südosten und Titov im Norden. Siehe auch die Liste der Gewässer im Erdmond. http://planetarynames.wr.usgs.gov (Engl.)",S' Mare Moscoviense (Lat. „Moskauer Meer“) isch s'einzig Mondmeer uf dr Rucksite vum Mo. Es isch ganz offesichtlich e mit Lava ufgfüllte Ischlagskrater mit em Zentrum bi 27° 18' Nord un 147° 54' Ost. Dr middler Durmesser isch 277 km. Grossi Krater sin Komarov im Südoste un Titov im Norde. Lueg au d'Liste vu dr Erdmogwässer. http://planetarynames.wr.usgs.gov (Engl.),"Given the two writers:
Writer A: 'Das Mare Moscoviense (lat. ""Moskauer Meer"") ist das einzige Mondmeer auf der Rückseite des Mondes. Es ist offensichtlich ein mit Lava gefüllter Einschlagkrater mit seinem Zentrum bei 27° 18' Nord und 147° 54' Ost. Der mittlere Durchmesser beträgt 277 km. Große Krater sind Komarov im Südosten und Titov im Norden. Siehe auch die Liste der Gewässer im Erdmond. http://planetarynames.wr.usgs.gov (Engl.)'
Writer B: 'S' Mare Moscoviense (Lat. „Moskauer Meer“) isch s'einzig Mondmeer uf dr Rucksite vum Mo. Es isch ganz offesichtlich e mit Lava ufgfüllte Ischlagskrater mit em Zentrum bi 27° 18' Nord un 147° 54' Ost. Dr middler Durmesser isch 277 km. Grossi Krater sin Komarov im Südoste un Titov im Norde. Lueg au d'Liste vu dr Erdmogwässer. http://planetarynames.wr.usgs.gov (Engl.)'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are genial, neighborly, gracious, warm, sweet, gracious, collegial, cordial, merry, loving. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
2,2,als,"Die Burg Hammerstein ist eine abgegangene Burg bei Wullbach, einem Ortsteil der Gemeinde Kandern im Landkreis Lörrach in Baden-Württemberg. Die Burg war eine Währanlage zum Schutz des Wullbacher Hammerwerks. Von der ehemaligen Burganlage sind noch geringe Mauerreste erhalten. Quelle: Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. Die Burg Hammerstein auf burgeninventar.de.","p1 p3 D Burg Hammerstei isch e abgangeni Burg bi Wullbach, eme Ortsdeil vu dr Gmei Chander im Landchreis Lörrach z Bade-Wirttebärg. Die Burg isch e Währaalag gsi zum Schutz vum Wullbacher Hammerwärch. Vu dr ehmolige Burgaalag sin no gringi Muurräscht erhalte. Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. D Burg Hammerstei uf burgeninventar.de","Given the two writers:
Writer A: 'Die Burg Hammerstein ist eine abgegangene Burg bei Wullbach, einem Ortsteil der Gemeinde Kandern im Landkreis Lörrach in Baden-Württemberg. Die Burg war eine Währanlage zum Schutz des Wullbacher Hammerwerks. Von der ehemaligen Burganlage sind noch geringe Mauerreste erhalten. Quelle: Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. Die Burg Hammerstein auf burgeninventar.de.'
Writer B: 'p1 p3 D Burg Hammerstei isch e abgangeni Burg bi Wullbach, eme Ortsdeil vu dr Gmei Chander im Landchreis Lörrach z Bade-Wirttebärg. Die Burg isch e Währaalag gsi zum Schutz vum Wullbacher Hammerwärch. Vu dr ehmolige Burgaalag sin no gringi Muurräscht erhalte. Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. D Burg Hammerstei uf burgeninventar.de'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are companionable, loving, comradely, warmhearted, affectionate, genial, chummy, comradely, neighborly, hospitable. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
3,3,als,"Krummenau ist der Name folgender Orte: Krummenau (Hunsrück), eine Gemeinde im Landkreis Birkenfeld in Rheinland-Pfalz, Deutschland Krummenau (Neustadt), ein Ortsteil der Gemeinde Neustadt (Wied) im Landkreis Neuwied, Rheinland-Pfalz, Deutschland Krummenau SG, eine Ortschaft in der Gemeinde Nesslau und ehemalige Gemeinde im Kanton St. Gallen, Schweiz Krummenau ist der Name folgender Fließgewässer: Krummenau (Lister), ein Zufluss der Lister im Märkischen Kreis in Nordrhein-Westfalen, Deutschland","Krummenau isch de Name vo folgende Ort: Krummenau (Hunsrück), e Gmaind im Landchrais Birkefeld i Rhyland-Pfalz, Dütschland Krummenau (Neustadt), en Ortstail vo de Gmaind Neustadt (Wied) im Landkreis Neuwied, Rhyland-Pfalz, Dütschland Krummenau SG, en Ortschaft i de Gmaind Nesslau und ehemolegi Gmaind im Kanton Sanggalle, Schwiz Krummenau isch de Name vo folgende Flüüssgwässer: Krummenau (Lister), en Zuefluss vo de Lister im Märkische Chrais i Nordrhy-Westfale, Dütschland","Given the two writers:
Writer A: 'Krummenau ist der Name folgender Orte: Krummenau (Hunsrück), eine Gemeinde im Landkreis Birkenfeld in Rheinland-Pfalz, Deutschland Krummenau (Neustadt), ein Ortsteil der Gemeinde Neustadt (Wied) im Landkreis Neuwied, Rheinland-Pfalz, Deutschland Krummenau SG, eine Ortschaft in der Gemeinde Nesslau und ehemalige Gemeinde im Kanton St. Gallen, Schweiz Krummenau ist der Name folgender Fließgewässer: Krummenau (Lister), ein Zufluss der Lister im Märkischen Kreis in Nordrhein-Westfalen, Deutschland'
Writer B: 'Krummenau isch de Name vo folgende Ort: Krummenau (Hunsrück), e Gmaind im Landchrais Birkefeld i Rhyland-Pfalz, Dütschland Krummenau (Neustadt), en Ortstail vo de Gmaind Neustadt (Wied) im Landkreis Neuwied, Rhyland-Pfalz, Dütschland Krummenau SG, en Ortschaft i de Gmaind Nesslau und ehemolegi Gmaind im Kanton Sanggalle, Schwiz Krummenau isch de Name vo folgende Flüüssgwässer: Krummenau (Lister), en Zuefluss vo de Lister im Märkische Chrais i Nordrhy-Westfale, Dütschland'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are sweet, gracious, neighborly, warm, chummy, companionable, chummy, hospitable, warm, merry. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
4,4,als,"Wil ist der Name mehrerer Dörfer oder Städte: Wil SG im Kanton St. Gallen, Wil ZH im Kanton Zürich, Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau, Wil, ein Ortsteil von Aefligen im Kanton Bern. Wil ist eine Endung vieler Ortschaftsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Teerwil, Altishofen, Dällikon.","Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl","Given the two writers:
Writer A: 'Wil ist der Name mehrerer Dörfer oder Städte: Wil SG im Kanton St. Gallen, Wil ZH im Kanton Zürich, Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau, Wil, ein Ortsteil von Aefligen im Kanton Bern. Wil ist eine Endung vieler Ortschaftsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Teerwil, Altishofen, Dällikon.'
Writer B: 'Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are affectionate, comradely, warmhearted, merry, neighborly, chummy, loving, companionable, sweet, hospitable. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
5,5,als,"Die Ryburg, auch Rihburg oder Iburg genannt, ist eine Burgruine bei Buch, einem Ortsteil der Gemeinde Albbruck am Hochrhein im Landkreis Waldshut in Baden-Württemberg. Die Burg liegt beim Bucher Weiler Steibach. Die Ryburg wurde Anfang des 13. Jahrhunderts von den Edlen von Steinbach erbaut. Sie wurde 1272 geschleift und danach nicht wieder aufgebaut. Von der Burganlage sind heute nur noch geringe Reste erhalten. Burgen im Landkreis Waldshut auf burgeninventar.de.","p1 D Ryburg, au Rihburg oder Iburg gnännt isch e Burgruine bi Buech, eme Ortsdeil vu dr Gmei Albbruck am Hochryy im Landchreis Waldshuet z Bade-Wirttebärg. D Burg lyt bim Buecher Wyyler Steibach. D Ryburg isch aafangs 13. Johrhundert dur di Edle von Steinbach böue loo wore. Si isch anne 1272 gschlisse un derno nimi wider ufböue wore. Vu dr Burgaalag sin hite nume no gringi Räscht erhalte. Burge im Landchreis Waldshuet uf burgeninventar.de","Given the two writers:
Writer A: 'Die Ryburg, auch Rihburg oder Iburg genannt, ist eine Burgruine bei Buch, einem Ortsteil der Gemeinde Albbruck am Hochrhein im Landkreis Waldshut in Baden-Württemberg. Die Burg liegt beim Bucher Weiler Steibach. Die Ryburg wurde Anfang des 13. Jahrhunderts von den Edlen von Steinbach erbaut. Sie wurde 1272 geschleift und danach nicht wieder aufgebaut. Von der Burganlage sind heute nur noch geringe Reste erhalten. Burgen im Landkreis Waldshut auf burgeninventar.de.'
Writer B: 'p1 D Ryburg, au Rihburg oder Iburg gnännt isch e Burgruine bi Buech, eme Ortsdeil vu dr Gmei Albbruck am Hochryy im Landchreis Waldshuet z Bade-Wirttebärg. D Burg lyt bim Buecher Wyyler Steibach. D Ryburg isch aafangs 13. Johrhundert dur di Edle von Steinbach böue loo wore. Si isch anne 1272 gschlisse un derno nimi wider ufböue wore. Vu dr Burgaalag sin hite nume no gringi Räscht erhalte. Burge im Landchreis Waldshuet uf burgeninventar.de'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are sweet, affectionate, warm, chummy, nice, amicable, neighborly, sweet, companionable, cordial. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
6,6,als,"Das 62. Critérium du Dauphiné war ein Etappenrennen, das vom 6. bis 13. Juni 2010 stattfand. Es bestand aus einem Prolog und sieben Etappen. Das Critérium du Dauphiné ist ein ProTour-Rennen, und alle 18 ProTour-Mannschaften nehmen teil. Dazu wurden vier Mannschaften von der Continental Pro eingeladen: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.","S 62. Critérium du Dauphiné isch e Veloetapperenne gsi, wo vom 6. bis 13. Juni 2010 stattgfunde het. Es het us eme Prolog und siiben Etappe bestande. S Critérium du Dauphiné isch e ProTour-Renne, und alli 18 ProTour-Mannschafte mache mit. Drzue si 4 Mannschafte vo dr Continentale Pro iiglade worde: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.","Given the two writers:
Writer A: 'Das 62. Critérium du Dauphiné war ein Etappenrennen, das vom 6. bis 13. Juni 2010 stattfand. Es bestand aus einem Prolog und sieben Etappen. Das Critérium du Dauphiné ist ein ProTour-Rennen, und alle 18 ProTour-Mannschaften nehmen teil. Dazu wurden vier Mannschaften von der Continental Pro eingeladen: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.'
Writer B: 'S 62. Critérium du Dauphiné isch e Veloetapperenne gsi, wo vom 6. bis 13. Juni 2010 stattgfunde het. Es het us eme Prolog und siiben Etappe bestande. S Critérium du Dauphiné isch e ProTour-Renne, und alli 18 ProTour-Mannschafte mache mit. Drzue si 4 Mannschafte vo dr Continentale Pro iiglade worde: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are nice, sweet, collegial, warm, loving, amicable, collegial, comradely, gracious, warm. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
7,7,als,"Du findest eine Liste von den Sternen, die man mit dem bloßen Auge sehen kann. Es ist einfach eine Liste aller sichtbaren Fixsterne, also aller Sterne außer der Sonne. Als Grenzhelligkeit für die Sichtbarkeit mit dem bloßen Auge bei optimalen Bedingungen gilt 6,5 mag. Alle Koordinaten in dieser Liste beziehen sich auf die Epoche J2000. Du kannst auch die weitere Liste von Sternen lesen. HR.... = Bright-Star-Katalog HD..... = Henry-Draper-Katalog.","Doo fìndsch a Lischta vu da Schtarna, womm’r mìt’m bloossa-n-Àuiga känna sah. ’S ìsch aifàch a Lischta vun àlla sìchtbààra Fixschtarna, àlso vun àlla Schtarna üsser dr Sunna. Àls Granzhällikait fìr d’ Sìchbààrkait mìt’m bloossa-n-Àuiga bii optimààla Bedìngunga gìlt d’rbii 6,5 mag. Àlla Koordinààta ìn dara Lischta beziaga sìch uff d’ Epocha J2000. Düü kààsch àui d’ wittera Lischta vu Schtarna lüaga. HR .... = Bright-Star-Katalog HD ..... = Henry-Draper-Katalog","Given the two writers:
Writer A: 'Doo fìndsch a Lischta vu da Schtarna, womm’r mìt’m bloossa-n-Àuiga känna sah. ’S ìsch aifàch a Lischta vun àlla sìchtbààra Fixschtarna, àlso vun àlla Schtarna üsser dr Sunna. Àls Granzhällikait fìr d’ Sìchbààrkait mìt’m bloossa-n-Àuiga bii optimààla Bedìngunga gìlt d’rbii 6,5 mag. Àlla Koordinààta ìn dara Lischta beziaga sìch uff d’ Epocha J2000. Düü kààsch àui d’ wittera Lischta vu Schtarna lüaga. HR .... = Bright-Star-Katalog HD ..... = Henry-Draper-Katalog'
Writer B: 'Du findest eine Liste von den Sternen, die man mit dem bloßen Auge sehen kann. Es ist einfach eine Liste aller sichtbaren Fixsterne, also aller Sterne außer der Sonne. Als Grenzhelligkeit für die Sichtbarkeit mit dem bloßen Auge bei optimalen Bedingungen gilt 6,5 mag. Alle Koordinaten in dieser Liste beziehen sich auf die Epoche J2000. Du kannst auch die weitere Liste von Sternen lesen. HR.... = Bright-Star-Katalog HD..... = Henry-Draper-Katalog.'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are comradely, merry, gracious, collegial, hospitable, cordial, affectionate, hospitable, neighborly, sweet. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
8,8,als,"Der Dude ist die französische Rockband The Dude, ein Film von Jeff Feuerzeig aus dem Jahr 2011, eine Figur im Film The Big Lebowski aus dem Jahr 1998, eine Figur im Film Rio Bravo aus dem Jahr 1959, ein Album von Quincy Jones aus dem Jahr 1981, ein Album von Devin the Rapper aus dem Jahr 1998 und ein Netzwerkmonitorprogramm von MikroTik.",The Dude cha si die franzöösischi Rockbänd The Dude e Film vom Jeff Feuerzeig us em Joor 2011 e Figuur im Film The Big Lebowski us em Joor 1998 e Figuur im Film Rio Bravo us em Joor 1959 en Album vom Quincy Jones us em Joor 1981 en Album vom Devin the Rapper us em Joor 1998 e Netzwärkmonitorbrogramm vo MikroTik,"Given the two writers:
Writer A: 'The Dude cha si die franzöösischi Rockbänd The Dude e Film vom Jeff Feuerzeig us em Joor 2011 e Figuur im Film The Big Lebowski us em Joor 1998 e Figuur im Film Rio Bravo us em Joor 1959 en Album vom Quincy Jones us em Joor 1981 en Album vom Devin the Rapper us em Joor 1998 e Netzwärkmonitorbrogramm vo MikroTik'
Writer B: 'Der Dude ist die französische Rockband The Dude, ein Film von Jeff Feuerzeig aus dem Jahr 2011, eine Figur im Film The Big Lebowski aus dem Jahr 1998, eine Figur im Film Rio Bravo aus dem Jahr 1959, ein Album von Quincy Jones aus dem Jahr 1981, ein Album von Devin the Rapper aus dem Jahr 1998 und ein Netzwerkmonitorprogramm von MikroTik.'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are amicable, loving, merry, cordial, collegial, affectionate, sweet, comradely, gracious, nice. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
9,9,als,"Need Your Loving Tonight ist ein Lied der britischen Rockband Queen. Es wurde vom Bassisten John Deacon geschrieben. Das Lied ist das vierte Stück auf dem Album The Game.  Freddie Mercury - Gesang  Brian May - Gitarre, Gesang  John Deacon - Bass, akustische Gitarre  Roger Taylor - Schlagzeug, Gesang  Need Your Loving Tonight auf queenonline.com, der offiziellen Website der Band  Queen  John Deacon • Brian May • Freddie Mercury • Roger Taylor  Auszeichnungen für Musikverkäufe  Lieder","Need Your Loving Tonight isch e Lied vu dr britische Rockbrand Queen. S isch vom Bassischt John Deacon gschribe worde. S Lied isch s viert Stuck uf em Album The Game. Freddie Mercury - Gsang Brian May - Gitarre, Gsang John Deacon - Bass, akustischi Gitarre Roger Taylor - Schlagzyyg, Gsang Need Your Loving Tonight uf queenonline.com, dr offiziälle Websyte vu dr Band 0V Queen John Deacon • Brian May • Freddie Mercury • Roger Taylor * Auszeichnungen für Musikverkäufe • Lieder","Given the two writers:
Writer A: 'Need Your Loving Tonight ist ein Lied der britischen Rockband Queen. Es wurde vom Bassisten John Deacon geschrieben. Das Lied ist das vierte Stück auf dem Album The Game.  Freddie Mercury - Gesang  Brian May - Gitarre, Gesang  John Deacon - Bass, akustische Gitarre  Roger Taylor - Schlagzeug, Gesang  Need Your Loving Tonight auf queenonline.com, der offiziellen Website der Band  Queen  John Deacon • Brian May • Freddie Mercury • Roger Taylor  Auszeichnungen für Musikverkäufe  Lieder'
Writer B: 'Need Your Loving Tonight isch e Lied vu dr britische Rockbrand Queen. S isch vom Bassischt John Deacon gschribe worde. S Lied isch s viert Stuck uf em Album The Game. Freddie Mercury - Gsang Brian May - Gitarre, Gsang John Deacon - Bass, akustischi Gitarre Roger Taylor - Schlagzyyg, Gsang Need Your Loving Tonight uf queenonline.com, dr offiziälle Websyte vu dr Band 0V Queen John Deacon • Brian May • Freddie Mercury • Roger Taylor * Auszeichnungen für Musikverkäufe • Lieder'
Here is a list of adjectives. For each adjectives pick a Writer – A or B – and write it after the adjective. The adjectives are affectionate, warm, hospitable, loving, warmhearted, chummy, genial, collegial, gracious, nice. Do not include any additional text in your response. Separate adjective and writer by - and separate pairs by a new line."
