Unnamed: 0,id,contents,length,language,answer
0,61193,"Saladin isch de Gschlächtsname vo dëne Lüüt: Barbara Saladin (* 1976), Schwyzer Autoorin und Schurnalischtin Guntram Saladin (1887–1958), Schwyzer Läxikograaf und Oortsnameforscher Lorenz Saladin (1896–1936), Schwyzer Expedizioonsbëërgstyger und Fotograaf Lueg au: Saladin (≈1137–1193), kurdische Fäldhërr und Sultaan",317,als,"['Saladin ist der Geschlechtsname folgender Personen: Barbara Saladin (* 1976), Schweizer Autorin und Journalistin Guntram Saladin (1887–1958), Schweizer Lexikograf und Ortsnamensforscher Lorenz Saladin (1896–1936), Schweizer Expeditionbergsteiger und Fotograf Siehe auch: Saladin (≈1137–1193), kurdischer Feldherr und Sultan']"
1,8680,S' Mare Moscoviense (Lat. „Moskauer Meer“) isch s'einzig Mondmeer uf dr Rucksite vum Mo. Es isch ganz offesichtlich e mit Lava ufgfüllte Ischlagskrater mit em Zentrum bi 27° 18' Nord un 147° 54' Ost. Dr middler Durmesser isch 277 km. Grossi Krater sin Komarov im Südoste un Titov im Norde. Lueg au d'Liste vu dr Erdmogwässer. http://planetarynames.wr.usgs.gov (Engl.),367,als,"[""Das Mare Moscoviense (lat. „Moskauer Meer“) ist das einzige Mondmeer auf der Rückseite des Mondes. Es ist offensichtlich ein mit Lava gefüllter Einschlagkrater mit dem Zentrum bei 27° 18' Nord und 147° 54' Ost. Der mittlere Durchmesser beträgt 277 km. Große Krater sind Komarov im Südosten und Titow im Norden. Siehe auch die Liste der Mondgewässer. http://planetarynames.wr.usgs.gov (Engl.)""]"
2,25319,"p1 p3 D Burg Hammerstei isch e abgangeni Burg bi Wullbach, eme Ortsdeil vu dr Gmei Chander im Landchreis Lörrach z Bade-Wirttebärg. Die Burg isch e Währaalag gsi zum Schutz vum Wullbacher Hammerwärch. Vu dr ehmolige Burgaalag sin no gringi Muurräscht erhalte. Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. D Burg Hammerstei uf burgeninventar.de",374,als,"['Die Burg Hammerstein ist eine abgegangene Burg bei Wullbach, einem Ortsteil der Gemeinde Kandern im Landkreis Lörrach in Baden-Württemberg. Die Burg war eine Wehranlage zum Schutz des Wullbacher Hammerwerks. Von der ehemaligen Burganlage sind nur geringe Mauerreste erhalten. Quelle: Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. Die Burg Hammerstein auf burgeninventar.de.']"
3,48394,"Krummenau isch de Name vo folgende Ort: Krummenau (Hunsrück), e Gmaind im Landchrais Birkefeld i Rhyland-Pfalz, Dütschland Krummenau (Neustadt), en Ortstail vo de Gmaind Neustadt (Wied) im Landkreis Neuwied, Rhyland-Pfalz, Dütschland Krummenau SG, en Ortschaft i de Gmaind Nesslau und ehemolegi Gmaind im Kanton Sanggalle, Schwiz Krummenau isch de Name vo folgende Flüüssgwässer: Krummenau (Lister), en Zuefluss vo de Lister im Märkische Chrais i Nordrhy-Westfale, Dütschland",475,als,"['Krummenau ist der Name folgender Orte: \nKrummenau (Hunsrück), eine Gemeinde im Landkreis Birkenfeld in Rheinland-Pfalz, Deutschland \nKrummenau (Neustadt), ein Ortsteil der Gemeinde Neustadt (Wied) im Landkreis Neuwied, Rheinland-Pfalz, Deutschland \nKrummenau SG, eine Ortschaft in der Gemeinde Nesslau und ehemalige Gemeinde im Kanton St. Gallen, Schweiz \nKrummenau ist der Name folgender Fließgewässer: \nKrummenau (Lister), ein Zufluss der Lister im Märkischen Kreis in Nordrhein-Westfalen, Deutschland']"
4,26813,"Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl",328,als,"['Wil ist der Name mehrerer Dörfer oder Städte: Wil SG im Kanton St. Gallen, Wil ZH im Kanton Zürich, Wil AG, ein Dorf in der Gemeinde Mettauertal im Kanton Aargau, Wil, ein Ortsteil von Aeschau im Kanton Bern. Wil ist eine Endung vieler Ortschaftsnamen in der Deutschschweiz, zum Beispiel Bäretswil, Safenwil, Theerwil, Altishofen, Däniken.']"
5,26384,"p1 D Ryburg, au Rihburg oder Iburg gnännt isch e Burgruine bi Buech, eme Ortsdeil vu dr Gmei Albbruck am Hochryy im Landchreis Waldshuet z Bade-Wirttebärg. D Burg lyt bim Buecher Wyyler Steibach. D Ryburg isch aafangs 13. Johrhundert dur di Edle von Steinbach böue loo wore. Si isch anne 1272 gschlisse un derno nimi wider ufböue wore. Vu dr Burgaalag sin hite nume no gringi Räscht erhalte. Burge im Landchreis Waldshuet uf burgeninventar.de",442,als,"['Die Ryburg, auch Rihburg oder Iburg genannt, ist eine Burgruine bei Büch, einem Ortsteil der Gemeinde Albbruck am Hochrhein im Landkreis Waldshut in Baden-Württemberg. Die Burg liegt beim Bücher Weiler Steibach. Die Ryburg wurde Anfang des 13. Jahrhunderts von den Edlen von Steinbach erbaut. Sie wurde 1272 geschleift und danach nicht wieder aufgebaut. Von der Burganlage sind heute nur noch geringe Reste erhalten. Burgen im Landkreis Waldshut auf burgeninventar.de.']"
6,27785,"S 62. Critérium du Dauphiné isch e Veloetapperenne gsi, wo vom 6. bis 13. Juni 2010 stattgfunde het. Es het us eme Prolog und siiben Etappe bestande. S Critérium du Dauphiné isch e ProTour-Renne, und alli 18 ProTour-Mannschafte mache mit. Drzue si 4 Mannschafte vo dr Continentale Pro iiglade worde: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.",366,als,"['Das 62. Critérium du Dauphiné war ein Etappenrennen, das vom 6. bis 13. Juni 2010 stattfand. Es bestand aus einem Prolog und sieben Etappen. Das Critérium du Dauphiné ist ein ProTour-Rennen, und alle 18 ProTour-Mannschaften nahmen teil. Dazu wurden vier Mannschaften der Continental Pro eingeladen: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.']"
7,89207,"Doo fìndsch a Lischta vu da Schtarna, womm’r mìt’m bloossa-n-Àuiga känna sah. ’S ìsch aifàch a Lischta vun àlla sìchtbààra Fixschtarna, àlso vun àlla Schtarna üsser dr Sunna. Àls Granzhällikait fìr d’ Sìchbààrkait mìt’m bloossa-n-Àuiga bii optimààla Bedìngunga gìlt d’rbii 6,5 mag. Àlla Koordinààta ìn dara Lischta beziaga sìch uff d’ Epocha J2000. Düü kààsch àui d’ wittera Lischta vu Schtarna lüaga. HR .... = Bright-Star-Katalog HD ..... = Henry-Draper-Katalog",463,als,"['Du findest eine Liste von den Sternen, die man mit bloßem Auge sehen kann. Es ist einfach eine Liste aller sichtbaren Fixsterne, also aller Sterne außer der Sonne. Als Grenzhelligkeit für die Sichtbarkeit mit bloßem Auge bei optimalen Bedingungen gilt 6,5 mag. Alle Koordinaten in dieser Liste beziehen sich auf die Epoche J2000. Du kannst auch die weitere Liste von Sternen laden. HR.... = Bright-Star-Katalog, HD..... = Henry-Draper-Katalog.']"
8,43385,The Dude cha si die franzöösischi Rockbänd The Dude e Film vom Jeff Feuerzeig us em Joor 2011 e Figuur im Film The Big Lebowski us em Joor 1998 e Figuur im Film Rio Bravo us em Joor 1959 en Album vom Quincy Jones us em Joor 1981 en Album vom Devin the Rapper us em Joor 1998 e Netzwärkmonitorbrogramm vo MikroTik,312,als,"['Der Dude ist die französische Rockband The Dude, ein Film von Jeff Feuerzeig aus dem Jahr 2011, eine Figur im Film The Big Lebowski aus dem Jahr 1998, eine Figur im Film Rio Bravo aus dem Jahr 1959, ein Album von Quincy Jones aus dem Jahr 1981, ein Album von Devin the Rapper aus dem Jahr 1998 und ein Netzwerkmonitorprogramm von MikroTik.']"
9,50213,"Need Your Loving Tonight isch e Lied vu dr britische Rockbrand Queen. S isch vom Bassischt John Deacon gschribe worde. S Lied isch s viert Stuck uf em Album The Game. Freddie Mercury - Gsang Brian May - Gitarre, Gsang John Deacon - Bass, akustischi Gitarre Roger Taylor - Schlagzyyg, Gsang Need Your Loving Tonight uf queenonline.com, dr offiziälle Websyte vu dr Band 0V Queen John Deacon • Brian May • Freddie Mercury • Roger Taylor * Auszeichnungen für Musikverkäufe • Lieder",477,als,"['Need Your Loving Tonight ist ein Lied der britischen Rockband Queen. Es wurde vom Bassisten John Deacon geschrieben. Das Lied ist das vierte Stück auf dem Album The Game. \nFreddie Mercury - Gesang \nBrian May - Gitarre, Gesang \nJohn Deacon - Bass, akustische Gitarre \nRoger Taylor - Schlagzeug, Gesang \nNeed Your Loving Tonight auf queenonline.com, der offiziellen Website der Band \nQueen \nJohn Deacon • Brian May • Freddie Mercury • Roger Taylor \nAuszeichnungen für Musikverkäufe \nLieder']"
